"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","999.3","...","...","","...","","27.5","...","","...","","...","83","...","","1.6","238","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1000.0","...","...","","...","","28.0","...","","...","","...","77","...","","1.7","98","...","...","","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"03","1000.1","...","...","","...","","28.6","...","","...","","...","77","...","","1.6","66","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","998.9","...","...","","...","","28.3","...","","...","","...","78","...","","1.5","103","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","997.2","...","...","","...","","28.6","...","","...","","...","78","...","","1.8","84","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","998.5","...","...","","...","","26.8","...","","...","","...","84","...","","0.8","124","...","...","","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","999.5","...","...","","...","","28.5","...","","...","","...","81","...","","1.7","104","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","998.5","...","...","","...","","28.2","...","","...","","...","75","...","","1.5","271","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","997.7","...","...","","...","","29.1","...","","...","","...","73","...","","2.0","105","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","997.9","...","...","","...","","29.6","...","","...","","...","73","...","","2.1","256","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","998.7","...","...","","...","","29.7","...","","...","","...","71","...","","2.1","88","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","998.6","...","...","","...","","29.9","...","","...","","...","73","...","","1.8","85","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","998.4","...","...","","...","","29.5","...","","...","","...","77","...","","1.9","108","...","...","","3.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","998.9","...","...","","...","","29.5","...","","...","","...","77","...","","1.8","93","...","...","","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","999.5","...","...","","...","","28.9","...","","...","","...","80","...","","1.5","93","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","998.0","...","...","","...","","29.4","...","","...","","...","72","...","","1.9","263","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","995.4","...","...","","...","","29.4","...","","...","","...","72","...","","2.0","218","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","995.3","...","...","","...","","29.0","...","","...","","...","72","...","","1.7","97","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","996.4","...","...","","...","","30.1","...","","...","","...","70","...","","1.5","270","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","997.1","...","...","","...","","30.2","...","","...","","...","71","...","","1.0","101","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","997.2","...","...","","...","","27.9","...","","...","","...","81","...","","1.3","48","...","...","","46.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","996.7","...","...","","...","","27.8","...","","...","","...","83","...","","1.3","40","...","...","","43.5","...","...","","...","","...","...","...","...","...","...","","..."
"23","997.5","...","...","","...","","29.1","...","","...","","...","78","...","","1.8","95","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","997.6","...","...","","...","","29.9","...","","...","","...","72","...","","2.4","84","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","997.1","...","998.6","2015-06-25 00:01","995.5","2015-06-25 15:45","30.1","35.1","2015-06-25 12:59","25.5","2015-06-25 04:46","...","71","47","2015-06-25 12:39","2.5","96","11.6","241","2015-06-25 13:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","997.3","...","999.3","2015-06-26 22:06","995.6","2015-06-26 14:50","30.5","35.3","2015-06-26 12:57","28.3","2015-06-26 23:50","...","70","49","2015-06-26 12:24","2.5","70","10.8","274","2015-06-26 14:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","999.0","...","1000.7","2015-06-27 22:18","997.8","2015-06-27 02:15","30.4","35.3","2015-06-27 12:54","25.8","2015-06-27 04:47","...","70","47","2015-06-27 13:50","2.6","216","11.8","245","2015-06-27 14:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","999.7","...","1001.3","2015-06-28 08:37","998.2","2015-06-28 15:46","30.4","34.1","2015-06-28 15:36","27.2","2015-06-28 04:32","...","71","52","2015-06-28 12:30","2.0","193","7.9","242","2015-06-28 13:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","998.1","...","999.8","2015-06-29 10:48","996.1","2015-06-29 17:23","29.2","33.3","2015-06-29 15:54","26.1","2015-06-29 23:24","...","75","54","2015-06-29 15:45","2.1","212","11.2","257","2015-06-29 09:58","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"30","995.9","...","997.7","2015-06-30 00:01","993.9","2015-06-30 16:58","29.8","33.7","2015-06-30 13:20","25.2","2015-06-30 04:22","...","69","52","2015-06-30 10:50","2.6","230","10.8","260","2015-06-30 12:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
