"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.6","...","1010.7","2015-06-01 22:12","1006.5","2015-06-01 04:14","28.4","30.9","2015-06-01 12:36","25.5","2015-06-01 02:48","...","84","71","2015-06-01 11:35","2.4","107","7.7","242","2015-06-01 14:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1009.3","...","1010.6","2015-06-02 10:46","1008.2","2015-06-02 16:57","29.3","32.1","2015-06-02 12:03","26.8","2015-06-02 03:40","...","80","66","2015-06-02 13:39","3.1","174","7.7","242","2015-06-02 14:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.4","...","1011.1","2015-06-03 09:23","1008.0","2015-06-03 17:05","28.8","31.2","2015-06-03 13:45","27.0","2015-06-03 05:50","...","81","66","2015-06-03 13:47","2.5","262","7.6","269","2015-06-03 15:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1008.2","...","1009.6","2015-06-04 00:01","1006.5","2015-06-04 17:01","28.7","31.0","2015-06-04 13:20","26.0","2015-06-04 05:31","...","81","68","2015-06-04 14:51","2.0","238","7.3","260","2015-06-04 14:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1006.5","...","...","","...","","29.1","...","","...","","...","80","...","","2.4","258","...","...","","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1007.7","...","1009.7","2015-06-06 22:07","1005.9","2015-06-06 03:02","28.4","30.7","2015-06-06 13:46","27.1","2015-06-06 23:52","...","82","73","2015-06-06 13:04","1.8","80","6.0","252","2015-06-06 14:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1008.9","...","1010.2","2015-06-07 09:14","1007.7","2015-06-07 15:49","28.8","30.7","2015-06-07 11:37","27.2","2015-06-08 00:00","...","80","66","2015-06-07 10:29","2.3","243","7.7","257","2015-06-07 14:15","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1007.8","...","1009.1","2015-06-08 09:51","1006.3","2015-06-08 16:42","28.9","30.8","2015-06-08 13:20","26.7","2015-06-08 05:34","...","76","54","2015-06-08 11:22","2.2","246","7.1","275","2015-06-08 12:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1007.1","...","1008.2","2015-06-09 22:51","1005.2","2015-06-09 16:31","29.3","31.3","2015-06-09 14:28","26.9","2015-06-09 05:36","...","79","66","2015-06-09 09:40","2.7","249","7.5","242","2015-06-09 13:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1007.4","...","1009.0","2015-06-10 22:16","1004.9","2015-06-10 16:36","29.8","32.4","2015-06-10 12:27","27.7","2015-06-10 05:20","...","77","59","2015-06-10 12:15","3.0","158","7.9","253","2015-06-10 11:07","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1008.1","...","1010.0","2015-06-11 22:19","1006.1","2015-06-11 16:43","29.9","32.7","2015-06-11 13:03","27.4","2015-06-11 05:32","...","76","60","2015-06-11 12:34","2.9","163","8.0","233","2015-06-11 13:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1007.9","...","1009.3","2015-06-12 09:36","1006.1","2015-06-12 16:20","29.9","32.1","2015-06-12 14:15","27.9","2015-06-12 03:02","...","77","64","2015-06-12 14:01","2.0","97","7.1","245","2015-06-12 11:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1007.7","...","1009.3","2015-06-13 22:17","1005.6","2015-06-13 15:52","30.2","32.7","2015-06-13 12:20","28.5","2015-06-13 04:42","...","77","59","2015-06-13 12:20","3.1","242","8.7","249","2015-06-13 13:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1008.2","...","1009.9","2015-06-14 22:42","1006.5","2015-06-14 16:03","30.3","33.4","2015-06-14 12:00","28.1","2015-06-14 05:48","...","75","62","2015-06-14 11:40","3.5","165","11.1","246","2015-06-14 14:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1008.8","...","1010.1","2015-06-15 11:09","1007.1","2015-06-15 17:05","30.1","32.1","2015-06-15 10:21","27.8","2015-06-15 05:20","...","75","62","2015-06-15 13:52","2.6","254","8.4","268","2015-06-15 10:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1007.3","...","1009.1","2015-06-16 09:10","1005.1","2015-06-16 17:43","30.0","31.9","2015-06-16 10:03","27.9","2015-06-16 05:29","...","77","63","2015-06-16 10:04","2.9","193","8.4","268","2015-06-16 10:55","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1004.7","...","1006.5","2015-06-18 00:00","1003.1","2015-06-17 23:59","29.9","32.3","2015-06-17 10:42","27.9","2015-06-17 05:24","...","77","59","2015-06-17 10:31","3.3","161","9.7","262","2015-06-17 15:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1004.6","...","1005.6","2015-06-18 08:55","1003.1","2015-06-18 00:09","29.9","32.0","2015-06-18 14:15","27.5","2015-06-18 04:10","...","77","63","2015-06-18 09:58","2.8","188","8.0","262","2015-06-18 14:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1005.7","...","1007.9","2015-06-19 22:08","1004.6","2015-06-19 16:12","30.2","32.3","2015-06-19 12:11","28.4","2015-06-19 02:22","...","76","62","2015-06-19 10:42","2.2","171","8.4","264","2015-06-19 15:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1006.3","...","1007.6","2015-06-20 22:37","1004.8","2015-06-20 15:45","30.2","32.7","2015-06-20 11:01","27.6","2015-06-20 04:30","...","76","62","2015-06-20 14:58","1.2","288","6.5","333","2015-06-20 16:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
