"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1008.9","...","1010.6","2018-06-01 22:56","1007.0","2018-06-01 15:51","28.0","31.2","2018-06-01 11:11","25.1","2018-06-01 23:59","...","83","67","2018-06-01 11:12","4.3","1","10.4","339","2018-06-01 12:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1008.9","...","1010.2","2018-06-02 00:12","1007.1","2018-06-02 16:15","26.8","30.8","2018-06-02 12:09","23.9","2018-06-02 04:05","...","80","64","2018-06-02 11:06","3.4","23","10.0","337","2018-06-02 16:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1007.5","...","1009.5","2018-06-03 00:01","1005.0","2018-06-03 16:14","27.9","30.7","2018-06-03 13:28","24.7","2018-06-03 05:10","...","81","65","2018-06-03 18:47","2.4","13","8.9","333","2018-06-03 13:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1007.7","...","1009.2","2018-06-04 23:00","1005.8","2018-06-04 15:31","28.7","31.6","2018-06-04 11:25","26.0","2018-06-04 05:40","...","81","62","2018-06-04 19:18","1.7","17","8.3","336","2018-06-04 15:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1008.1","...","1009.6","2018-06-05 21:55","1006.4","2018-06-05 16:08","29.5","32.5","2018-06-05 12:05","26.8","2018-06-05 04:27","...","80","57","2018-06-05 11:29","1.9","263","9.2","262","2018-06-05 15:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1007.4","...","1008.7","2018-06-07 00:00","1005.5","2018-06-06 16:37","29.6","32.8","2018-06-06 10:36","26.7","2018-06-06 05:20","...","78","57","2018-06-06 18:17","1.5","323","6.4","338","2018-06-06 16:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1005.8","...","1007.3","2018-06-08 00:00","1003.6","2018-06-07 15:26","28.9","31.1","2018-06-07 11:49","27.4","2018-06-07 05:44","...","86","75","2018-06-07 18:20","2.3","342","9.4","345","2018-06-07 14:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1002.1","...","1005.1","2018-06-08 00:03","1000.0","2018-06-08 16:35","28.8","32.2","2018-06-08 11:50","25.9","2018-06-08 05:17","...","85","67","2018-06-08 12:43","1.7","129","7.9","333","2018-06-08 17:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","999.4","...","1000.6","2018-06-09 08:35","997.1","2018-06-09 15:45","29.4","32.5","2018-06-09 11:33","27.8","2018-06-09 05:49","...","83","69","2018-06-09 11:33","1.5","1","6.8","325","2018-06-09 16:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","998.8","...","1000.1","2018-06-10 00:11","997.0","2018-06-10 15:42","30.0","32.2","2018-06-10 13:30","27.7","2018-06-10 05:24","...","80","63","2018-06-10 12:53","2.1","131","8.2","243","2018-06-10 15:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","999.8","...","1002.8","2018-06-11 22:43","997.1","2018-06-11 03:55","27.9","30.2","2018-06-11 16:16","25.6","2018-06-11 03:48","...","87","71","2018-06-11 16:32","3.3","10","9.7","13","2018-06-11 11:54","51.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1001.9","...","1003.6","2018-06-12 08:45","1000.4","2018-06-12 16:01","28.8","31.6","2018-06-12 11:04","26.5","2018-06-12 05:22","...","73","57","2018-06-12 11:07","1.0","335","7.0","326","2018-06-12 13:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","998.2","...","1001.1","2018-06-13 00:10","995.8","2018-06-13 16:52","29.1","32.1","2018-06-13 12:27","26.0","2018-06-13 04:40","...","73","51","2018-06-13 12:54","2.0","344","7.5","330","2018-06-13 14:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","995.1","...","997.0","2018-06-15 00:00","993.6","2018-06-14 16:36","27.2","31.4","2018-06-14 09:22","24.9","2018-06-14 20:23","...","90","65","2018-06-14 09:22","2.6","7","10.0","137","2018-06-14 11:39","62.5","...","...","","...","","...","...","...","...","...","...","","..."
"15","996.7","...","1001.4","2018-06-15 22:19","992.7","2018-06-15 03:43","26.7","29.0","2018-06-15 11:48","24.7","2018-06-15 05:42","...","85","71","2018-06-15 15:45","6.1","11","16.1","19","2018-06-15 12:41","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1002.2","...","1004.0","2018-06-16 22:19","1000.2","2018-06-16 02:53","26.8","30.5","2018-06-16 11:01","24.9","2018-06-16 20:17","...","82","62","2018-06-16 11:02","3.1","19","9.5","169","2018-06-16 19:39","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1003.1","...","1004.2","2018-06-17 21:51","1001.8","2018-06-17 16:06","26.7","30.3","2018-06-17 11:13","25.1","2018-06-17 01:42","...","93","73","2018-06-17 11:35","3.6","162","10.3","182","2018-06-17 16:09","7.5","...","...","","...","","...","...","...","...","...","...","","..."
"18","1003.0","...","1004.7","2018-06-18 22:33","1001.5","2018-06-18 15:23","26.2","28.2","2018-06-18 12:04","24.6","2018-06-18 15:54","...","94","85","2018-06-18 20:56","5.2","160","13.7","210","2018-06-18 15:42","34.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1005.4","...","1007.6","2018-06-19 21:51","1002.9","2018-06-19 01:46","24.8","26.3","2018-06-19 00:06","23.6","2018-06-19 08:32","...","99","91","2018-06-19 00:05","3.6","162","9.8","248","2018-06-19 08:23","140.5","...","...","","...","","...","...","...","...","...","...","","..."
"20","1006.3","...","1007.8","2018-06-20 23:16","1005.0","2018-06-20 16:16","25.3","28.0","2018-06-20 17:29","23.8","2018-06-20 06:23","...","97","85","2018-06-20 17:27","3.8","149","9.8","152","2018-06-20 10:29","134.5","...","...","","...","","...","...","...","...","...","...","","..."
"21","1006.7","...","1007.9","2018-06-21 09:52","1005.6","2018-06-21 19:21","27.2","30.9","2018-06-21 11:30","25.1","2018-06-21 05:32","...","91","72","2018-06-21 11:31","2.4","165","7.0","267","2018-06-21 12:38","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","1007.2","...","1008.5","2018-06-22 21:57","1005.6","2018-06-22 16:37","27.8","31.0","2018-06-22 10:34","25.7","2018-06-22 03:30","...","90","77","2018-06-22 10:22","3.1","171","9.3","173","2018-06-22 19:45","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"23","1007.9","...","1009.0","2018-06-23 21:39","1006.6","2018-06-23 02:33","28.4","31.2","2018-06-23 10:50","26.4","2018-06-23 05:41","...","87","71","2018-06-23 10:50","2.4","172","8.1","201","2018-06-23 08:30","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"24","1009.1","...","1010.5","2018-06-24 22:47","1007.8","2018-06-24 04:02","28.6","30.5","2018-06-24 09:50","26.8","2018-06-24 03:37","...","89","77","2018-06-24 09:38","2.1","174","5.9","160","2018-06-24 04:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1010.0","...","1011.3","2018-06-25 22:47","1008.1","2018-06-25 17:12","28.4","31.2","2018-06-25 10:40","26.8","2018-06-25 18:02","...","86","73","2018-06-25 10:38","2.2","45","8.4","264","2018-06-25 14:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1010.2","...","1011.0","2018-06-26 10:47","1009.0","2018-06-26 15:43","29.2","31.3","2018-06-26 13:14","25.7","2018-06-26 05:12","...","80","66","2018-06-26 23:56","0.9","319","5.9","328","2018-06-26 11:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1008.9","...","1010.3","2018-06-27 00:14","1007.2","2018-06-27 14:45","28.5","31.1","2018-06-27 14:19","25.9","2018-06-27 18:17","...","84","67","2018-06-27 02:17","0.9","312","5.6","111","2018-06-27 17:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1006.2","...","1008.4","2018-06-28 00:01","1004.3","2018-06-28 16:33","28.7","31.7","2018-06-28 10:49","25.3","2018-06-28 04:07","...","84","67","2018-06-28 10:49","2.1","264","7.7","264","2018-06-28 13:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
