"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.0","...","1009.1","2016-06-01 08:33","1004.8","2016-06-01 17:35","29.8","32.3","2016-06-01 14:58","27.7","2016-06-01 05:22","...","79","63","2016-06-01 15:42","3.0","166","9.2","212","2016-06-01 18:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1005.7","...","1007.8","2016-06-02 22:49","1004.0","2016-06-02 17:08","29.5","31.1","2016-06-02 12:14","28.4","2016-06-02 05:02","...","83","75","2016-06-02 12:32","3.1","238","8.6","241","2016-06-02 14:02","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1006.5","...","1008.2","2016-06-03 09:43","1004.9","2016-06-03 17:23","29.9","32.1","2016-06-03 11:33","27.9","2016-06-03 04:06","...","81","68","2016-06-03 13:16","3.3","203","8.7","242","2016-06-03 14:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1007.6","...","1009.3","2016-06-04 22:17","1006.2","2016-06-04 15:47","30.0","32.2","2016-06-04 12:12","28.1","2016-06-04 04:49","...","81","69","2016-06-04 09:42","3.0","192","8.9","261","2016-06-04 16:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1008.0","...","1009.4","2016-06-05 21:55","1006.3","2016-06-05 16:31","28.9","32.0","2016-06-05 16:16","25.9","2016-06-05 22:02","...","82","65","2016-06-05 16:34","2.0","155","7.1","142","2016-06-05 20:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1008.2","...","1009.3","2016-06-06 09:39","1006.9","2016-06-06 17:03","28.6","30.3","2016-06-06 09:14","26.5","2016-06-06 05:54","...","80","68","2016-06-06 11:58","2.0","164","7.6","259","2016-06-06 12:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1007.5","...","1008.9","2016-06-07 08:30","1005.6","2016-06-07 15:58","28.9","31.2","2016-06-07 12:10","26.5","2016-06-07 04:02","...","79","64","2016-06-07 15:36","1.3","13","6.3","257","2016-06-07 15:06","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1005.9","...","1007.4","2016-06-09 00:00","1003.7","2016-06-08 15:44","28.6","32.0","2016-06-08 09:45","26.4","2016-06-08 23:55","...","81","64","2016-06-08 09:45","1.9","260","6.4","245","2016-06-08 13:40","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1006.1","...","1007.7","2016-06-09 21:25","1004.7","2016-06-09 16:16","27.4","31.7","2016-06-09 13:15","24.6","2016-06-09 21:32","...","87","63","2016-06-09 13:05","2.1","166","8.2","144","2016-06-09 16:59","26.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.7","...","1008.0","2016-06-10 11:29","1005.2","2016-06-10 16:44","26.4","27.4","2016-06-10 10:28","24.1","2016-06-10 13:15","...","89","82","2016-06-10 19:00","3.5","168","11.4","155","2016-06-10 21:27","10.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1007.4","...","1008.9","2016-06-11 11:03","1005.3","2016-06-11 03:00","25.5","27.0","2016-06-11 23:53","24.3","2016-06-11 05:18","...","92","79","2016-06-11 19:54","4.3","164","10.1","165","2016-06-11 01:52","119.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1006.6","...","1007.7","2016-06-12 00:06","1005.5","2016-06-12 20:07","26.4","30.0","2016-06-12 09:07","24.3","2016-06-12 12:28","...","90","76","2016-06-12 09:05","3.8","165","22.1","256","2016-06-12 12:25","33.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1005.7","...","1007.8","2016-06-13 10:14","1003.9","2016-06-13 18:40","26.1","28.2","2016-06-13 12:47","24.6","2016-06-13 13:47","...","90","82","2016-06-13 12:43","3.3","155","13.6","263","2016-06-13 08:04","20.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1005.3","...","1006.3","2016-06-14 10:30","1003.8","2016-06-14 02:14","28.3","31.2","2016-06-14 14:45","25.4","2016-06-14 04:17","...","84","75","2016-06-14 14:30","3.4","164","9.7","210","2016-06-14 14:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1006.4","...","...","","...","","29.1","...","","...","","...","84","...","","3.3","166","...","...","","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1007.2","...","1008.6","2016-06-16 22:33","1005.2","2016-06-16 01:36","29.6","32.5","2016-06-16 15:08","26.1","2016-06-16 05:37","...","82","66","2016-06-16 15:09","3.3","187","11.1","163","2016-06-16 05:30","2.5","...","...","","...","","...","...","...","...","...","...","","..."
