"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.3","...","1008.7","2019-06-01 22:30","1005.4","2019-06-01 15:09","28.0","30.2","2019-06-01 15:01","24.4","2019-06-01 04:41","...","83","70","2019-06-01 15:01","2.6","208","7.5","166","2019-06-01 05:20","41.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1007.1","...","1008.7","2019-06-02 22:18","1005.3","2019-06-02 16:24","28.8","31.8","2019-06-02 11:46","25.1","2019-06-02 03:22","...","80","60","2019-06-02 11:58","2.5","189","8.9","358","2019-06-02 03:11","18.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1007.6","...","1008.9","2019-06-03 11:11","1006.5","2019-06-03 16:54","29.5","32.7","2019-06-03 15:25","27.6","2019-06-03 04:02","...","73","51","2019-06-03 15:48","1.8","182","6.7","231","2019-06-03 10:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1008.6","...","1010.5","2019-06-04 12:53","1006.8","2019-06-04 02:24","27.2","30.8","2019-06-04 10:17","23.8","2019-06-04 13:02","...","84","69","2019-06-04 10:39","2.3","169","10.2","187","2019-06-04 10:51","42.5","...","...","","...","","...","...","...","...","...","...","","..."
"05","1009.6","...","1011.5","2019-06-05 22:07","1008.2","2019-06-05 03:49","28.9","31.7","2019-06-05 16:06","25.3","2019-06-05 02:42","...","79","63","2019-06-05 11:15","1.4","171","5.8","265","2019-06-05 13:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1010.1","...","1011.4","2019-06-06 09:59","1008.6","2019-06-06 02:40","29.9","32.6","2019-06-06 10:16","27.8","2019-06-06 05:49","...","80","63","2019-06-06 10:26","3.1","169","9.1","241","2019-06-06 12:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1009.8","...","1011.1","2019-06-07 08:56","1008.1","2019-06-07 16:03","29.8","32.6","2019-06-07 10:16","28.1","2019-06-07 05:22","...","80","63","2019-06-07 10:01","2.3","172","8.5","251","2019-06-07 11:29","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1008.0","...","1009.6","2019-06-08 08:05","1006.1","2019-06-08 23:59","29.4","31.3","2019-06-08 11:51","27.7","2019-06-08 04:44","...","79","64","2019-06-08 15:58","2.3","247","6.9","255","2019-06-08 13:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1006.0","...","1007.8","2019-06-09 07:20","1004.4","2019-06-09 17:33","29.6","32.5","2019-06-09 13:09","27.3","2019-06-09 05:02","...","76","59","2019-06-09 13:54","2.6","160","8.7","201","2019-06-09 15:57","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1004.2","...","1005.2","2019-06-10 22:52","1003.1","2019-06-10 03:52","27.7","32.1","2019-06-10 11:02","25.1","2019-06-10 04:49","...","83","62","2019-06-10 11:09","3.4","162","10.0","170","2019-06-10 15:06","17.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1004.2","...","1006.2","2019-06-11 22:27","1002.4","2019-06-11 01:56","26.4","27.4","2019-06-11 14:35","24.9","2019-06-11 08:30","...","92","83","2019-06-11 06:07","2.7","107","8.6","173","2019-06-12 00:00","53.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1005.3","...","1006.7","2019-06-12 08:45","1004.2","2019-06-12 01:03","25.7","28.4","2019-06-12 14:55","23.8","2019-06-12 05:00","...","95","84","2019-06-12 11:58","2.2","163","7.8","164","2019-06-12 09:23","58.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1002.9","...","1005.2","2019-06-14 00:00","1000.8","2019-06-13 17:25","27.5","31.8","2019-06-13 13:15","25.2","2019-06-13 01:02","...","89","67","2019-06-13 13:22","2.2","159","9.7","221","2019-06-13 14:14","28.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","1000.8","...","1003.1","2019-06-14 22:11","999.3","2019-06-14 14:51","26.6","28.9","2019-06-14 16:01","24.7","2019-06-14 11:15","...","88","74","2019-06-14 17:22","2.5","171","9.7","260","2019-06-14 03:15","18.5","...","...","","...","","...","...","...","...","...","...","","..."
"15","1003.9","...","1006.2","2019-06-15 22:35","1002.0","2019-06-15 03:17","27.1","30.3","2019-06-15 13:15","23.7","2019-06-15 06:00","...","71","54","2019-06-15 14:02","3.3","17","9.0","18","2019-06-15 08:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1006.4","...","1009.0","2019-06-16 22:40","1004.4","2019-06-16 02:51","27.5","31.1","2019-06-16 10:37","25.5","2019-06-16 04:52","...","78","57","2019-06-16 11:24","1.2","23","6.3","343","2019-06-16 15:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1008.7","...","1010.9","2019-06-17 22:29","1007.4","2019-06-17 16:01","28.6","32.3","2019-06-17 11:19","25.8","2019-06-17 04:42","...","82","64","2019-06-17 10:15","1.0","308","5.6","254","2019-06-17 11:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1008.8","...","1009.9","2019-06-19 00:00","1007.9","2019-06-18 18:00","30.6","33.6","2019-06-18 11:09","26.9","2019-06-18 00:10","...","75","59","2019-06-18 17:34","2.2","192","7.3","245","2019-06-18 12:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1007.8","...","1009.2","2019-06-19 09:20","1005.8","2019-06-19 16:35","29.8","32.4","2019-06-19 12:09","28.0","2019-06-19 05:24","...","78","68","2019-06-19 09:17","2.2","173","7.0","257","2019-06-19 11:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1006.6","...","1008.0","2019-06-20 09:38","1005.4","2019-06-20 15:35","29.6","31.3","2019-06-20 13:14","28.1","2019-06-20 06:42","...","81","69","2019-06-20 11:29","2.2","218","8.3","264","2019-06-20 15:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1005.8","...","1007.1","2019-06-21 08:47","1004.7","2019-06-21 16:03","29.8","31.6","2019-06-21 10:27","27.6","2019-06-21 05:22","...","79","66","2019-06-21 11:07","2.8","195","6.8","227","2019-06-21 18:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1004.6","...","1005.9","2019-06-22 09:24","1003.0","2019-06-22 18:29","30.2","33.0","2019-06-22 12:28","27.1","2019-06-22 04:02","...","75","53","2019-06-22 12:32","2.5","201","6.7","193","2019-06-22 03:56","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"23","1005.1","...","1006.8","2019-06-23 21:44","1003.0","2019-06-23 02:53","28.0","31.9","2019-06-23 10:30","24.7","2019-06-23 12:21","...","86","64","2019-06-23 10:30","2.5","167","9.0","257","2019-06-23 12:32","68.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1006.9","...","1008.8","2019-06-24 22:31","1005.1","2019-06-24 03:54","27.5","30.2","2019-06-24 15:25","24.4","2019-06-24 08:17","...","89","72","2019-06-24 15:37","1.5","139","8.2","185","2019-06-24 06:43","9.5","...","...","","...","","...","...","...","...","...","...","","..."
"25","1006.9","...","...","","...","","27.7","...","","...","","...","81","...","","1.7","88","...","...","","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1004.0","...","1006.3","2019-06-27 00:00","1001.6","2019-06-26 17:49","26.4","27.9","2019-06-26 20:36","25.1","2019-06-26 15:41","...","91","81","2019-06-26 20:35","2.5","139","7.9","176","2019-06-26 22:51","17.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1002.2","...","1003.4","2019-06-27 12:44","1000.6","2019-06-27 16:40","27.6","30.1","2019-06-27 12:08","24.7","2019-06-27 13:09","...","86","74","2019-06-27 12:07","2.7","161","9.0","234","2019-06-27 12:46","25.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1002.3","...","1003.4","2019-06-28 07:35","1000.9","2019-06-28 16:55","30.1","32.8","2019-06-28 10:43","26.5","2019-06-28 05:31","...","80","63","2019-06-28 10:43","2.8","160","7.9","244","2019-06-28 13:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1002.0","...","1003.3","2019-06-29 21:44","1000.6","2019-06-29 03:30","29.5","31.7","2019-06-29 12:37","27.9","2019-06-29 05:32","...","82","67","2019-06-29 12:42","2.6","170","7.2","164","2019-06-29 14:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1002.2","...","1004.0","2019-06-30 22:10","1000.6","2019-06-30 16:00","30.0","32.0","2019-06-30 16:47","27.5","2019-06-30 04:10","...","79","65","2019-06-30 15:56","2.6","170","9.0","223","2019-06-30 11:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
