"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"21","1006.7","...","1009.0","2017-06-21 22:34","1005.0","2017-06-21 16:19","29.5","32.4","2017-06-21 13:10","27.0","2017-06-21 05:00","...","80","65","2017-06-21 11:20","3.2","200","10.3","230","2017-06-21 13:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1008.4","...","1009.9","2017-06-22 22:09","1007.0","2017-06-22 03:28","29.5","32.7","2017-06-22 11:12","27.3","2017-06-22 04:12","...","82","61","2017-06-22 13:11","2.9","188","11.8","243","2017-06-22 13:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1007.7","...","1009.2","2017-06-23 00:01","1006.0","2017-06-23 16:25","29.4","31.0","2017-06-23 10:35","27.9","2017-06-23 04:30","...","85","70","2017-06-23 10:31","2.4","182","9.4","252","2017-06-23 16:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1006.3","...","1007.6","2017-06-24 21:11","1004.7","2017-06-24 16:25","29.5","32.1","2017-06-24 10:14","27.3","2017-06-24 05:24","...","83","66","2017-06-24 10:15","3.0","179","9.5","262","2017-06-24 16:44","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1007.0","...","1008.6","2017-06-25 23:09","1005.9","2017-06-25 15:43","29.6","31.3","2017-06-25 09:34","26.9","2017-06-25 03:36","...","81","70","2017-06-25 15:32","3.0","174","7.8","228","2017-06-25 16:05","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"26","1008.4","...","1009.8","2017-06-26 22:32","1007.1","2017-06-26 15:22","29.6","31.8","2017-06-26 10:08","27.9","2017-06-26 05:10","...","83","66","2017-06-26 09:52","3.1","166","9.3","267","2017-06-26 14:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1009.3","...","1011.1","2017-06-27 22:20","1007.9","2017-06-27 16:19","29.3","31.4","2017-06-27 14:57","28.0","2017-06-27 05:30","...","86","72","2017-06-27 10:05","2.1","241","8.5","267","2017-06-27 15:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1009.5","...","1010.8","2017-06-28 22:19","1008.2","2017-06-28 16:26","29.6","32.0","2017-06-28 13:27","28.0","2017-06-28 03:00","...","82","68","2017-06-28 13:24","1.3","252","7.5","271","2017-06-28 14:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1009.1","...","1010.3","2017-06-29 08:28","1007.8","2017-06-29 16:56","29.5","32.2","2017-06-29 11:07","27.6","2017-06-29 06:07","...","77","56","2017-06-29 16:59","1.4","8","11.6","177","2017-06-29 16:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1008.1","...","1009.4","2017-06-30 00:05","1005.9","2017-06-30 15:55","28.8","32.2","2017-06-30 16:23","26.4","2017-06-30 19:12","...","79","61","2017-06-30 09:57","2.4","69","10.0","233","2017-06-30 16:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
