"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.9","...","1018.9","2017-04-01 23:43","1014.8","2017-04-01 05:51","17.3","20.9","2017-04-01 13:40","13.9","2017-04-01 05:35","...","66","46","2017-04-01 21:04","6.1","18","16.3","29","2017-04-01 01:22","2.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1019.3","...","1021.1","2017-04-02 09:12","1017.5","2017-04-02 16:35","18.8","23.7","2017-04-02 14:23","14.4","2017-04-02 01:11","...","47","26","2017-04-02 09:33","3.8","21","11.7","28","2017-04-02 08:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1019.4","...","1021.1","2017-04-03 09:07","1018.0","2017-04-03 16:51","20.9","25.3","2017-04-03 13:52","16.3","2017-04-03 06:11","...","57","32","2017-04-03 13:40","2.0","23","6.6","311","2017-04-03 15:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1017.7","...","1020.1","2017-04-04 00:02","1015.3","2017-04-04 15:57","21.0","23.7","2017-04-04 12:50","16.8","2017-04-04 05:50","...","70","54","2017-04-04 08:40","1.7","332","8.7","332","2017-04-04 14:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1014.5","...","1016.9","2017-04-05 00:02","1011.7","2017-04-05 16:16","22.7","25.6","2017-04-05 10:36","19.4","2017-04-05 05:48","...","68","48","2017-04-05 10:22","1.8","35","9.6","312","2017-04-05 13:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1012.5","...","1014.3","2017-04-06 10:05","1011.0","2017-04-06 15:56","23.8","27.4","2017-04-06 11:05","19.4","2017-04-06 04:38","...","75","50","2017-04-06 09:31","1.2","71","6.4","255","2017-04-06 14:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1011.7","...","1013.6","2017-04-07 11:48","1010.6","2017-04-07 16:37","24.9","27.5","2017-04-07 14:11","24.2","2017-04-07 23:59","...","84","69","2017-04-07 12:09","2.3","190","7.0","239","2017-04-07 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1011.6","...","1013.9","2017-04-08 09:33","1009.4","2017-04-08 16:49","25.4","28.3","2017-04-08 09:59","22.5","2017-04-08 01:35","...","86","66","2017-04-08 09:59","2.3","88","8.0","268","2017-04-08 15:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1008.9","...","1011.0","2017-04-09 00:01","1006.8","2017-04-09 16:44","25.9","28.7","2017-04-09 13:57","23.3","2017-04-09 05:12","...","88","75","2017-04-09 13:57","2.9","208","10.0","251","2017-04-09 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1007.4","...","1009.9","2017-04-10 09:26","1004.7","2017-04-10 16:59","27.3","31.5","2017-04-10 12:40","24.9","2017-04-10 00:52","...","75","47","2017-04-10 12:50","3.0","191","9.0","222","2017-04-10 18:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1007.9","...","1010.5","2017-04-11 23:53","1006.3","2017-04-11 03:39","26.8","30.0","2017-04-11 10:47","22.1","2017-04-11 23:59","...","83","64","2017-04-11 10:47","3.2","214","12.0","261","2017-04-11 23:53","18.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1011.6","...","1015.7","2017-04-12 23:29","1008.8","2017-04-12 03:51","19.9","22.1","2017-04-13 00:00","17.1","2017-04-12 23:59","...","92","81","2017-04-12 13:06","4.1","18","10.0","12","2017-04-12 22:03","57.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1015.1","...","1016.1","2017-04-13 22:04","1013.9","2017-04-13 16:03","18.9","21.0","2017-04-13 15:38","19.6","2017-04-13 23:22","...","88","80","2017-04-13 14:46","3.4","20","6.5","24","2017-04-13 15:06","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","1013.4","...","1015.6","2017-04-14 00:01","1011.4","2017-04-14 16:13","22.8","26.5","2017-04-14 11:38","19.6","2017-04-14 01:06","...","87","65","2017-04-14 11:36","1.8","22","7.8","343","2017-04-14 16:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1012.6","...","1014.9","2017-04-15 09:32","1011.1","2017-04-15 17:04","25.2","28.5","2017-04-15 11:34","22.0","2017-04-15 05:48","...","85","63","2017-04-15 10:20","1.2","333","7.3","347","2017-04-15 14:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
