"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1003.7","1008.0","25.5","24.3","93","0.0","0","2.2","290","0.0","0.0","...","0.00","...","0","..."
"02","1003.1","1007.4","25.6","23.9","90","1.3","230","3.2","270","0.0","0.0","...","0.00","...","0","..."
"03","1002.4","1006.7","25.2","23.8","92","1.8","330","2.3","330","0.0","0.0","...","0.00","...","0","..."
"04","1002.4","1006.7","25.3","23.5","90","1.8","340","3.3","350","0.0","0.0","...","0.00","...","0","..."
"05","1002.5","1006.8","25.1","23.2","89","1.9","340","3.0","340","0.0","0.0","...","0.00","...","0","..."
"06","1003.2","1007.5","25.8","24.2","91","1.5","360","3.7","330","0.0","0.0","0.2","0.06","...","0","..."
"07","1003.6","1007.9","28.0","24.7","82","0.8","50","2.6","20","0.0","0.0","0.7","0.60","...","0","..."
"08","1003.6","1007.8","28.9","24.5","77","0.7","180","2.3","90","0.0","0.0","1.0","1.58","...","2","..."
"09","1004.4","1008.6","29.3","26.1","83","1.8","190","3.8","190","0.0","0.0","1.0","2.37","...","4","..."
"10","1004.1","1008.3","29.9","26.2","81","2.0","180","4.2","180","0.0","0.0","1.0","3.02","...","7","..."
"11","1004.2","1008.4","30.1","27.0","84","2.7","200","5.5","190","0.0","0.0","1.0","3.56","...","9","..."
"12","1004.2","1008.4","30.6","27.2","82","1.0","210","6.5","190","0.0","0.0","1.0","3.60","...","11","..."
"13","1003.6","1007.8","30.4","27.4","84","1.2","220","3.7","200","0.0","0.0","1.0","3.60","...","10","..."
"14","1003.0","1007.2","30.4","26.9","82","1.4","200","3.7","200","0.0","0.0","1.0","3.54","...","9","..."
"15","1002.4","1006.6","30.7","27.6","84","0.9","200","3.8","180","0.0","0.0","1.0","2.93","...","6","..."
"16","1002.4","1006.6","30.3","27.0","83","2.6","200","5.5","200","0.0","0.0","1.0","2.24","...","4","..."
"17","1002.6","1006.8","29.0","25.7","82","2.9","220","4.8","220","0.0","0.0","0.5","0.94","...","1","..."
"18","1003.0","1007.2","29.0","25.0","79","2.0","240","5.3","220","0.0","0.0","0.0","0.00","...","0","..."
"19","1003.6","1007.9","28.2","24.9","82","1.1","210","3.5","220","0.0","0.0","0.0","0.00","...","0","..."
"20","1004.2","1008.5","27.0","23.4","81","2.0","340","3.7","330","0.0","0.0","...","0.00","...","0","..."
"21","1004.2","1008.5","27.0","23.1","79","1.4","340","4.5","330","0.0","0.0","...","0.00","...","0","..."
"22","1004.8","1009.1","26.7","22.2","76","2.6","340","3.4","330","0.0","0.0","...","0.00","...","0","..."
"23","1004.7","1009.0","26.5","21.9","76","2.9","330","3.8","330","0.0","0.0","...","0.00","...","0","..."
"24","1004.4","1008.7","26.2","22.6","81","2.2","330","2.8","330","0.0","0.0","...","0.00","...","0","..."
