"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.3","1005.6","25.5","21.5","79","3.5","330","4.4","330","0.0","0.0","...","0.00","...","0","..."
"02","1001.4","1005.7","24.6","21.6","83","0.7","240","4.3","330","0.0","0.0","...","0.00","...","0","..."
"03","1001.2","1005.5","25.0","20.9","78","2.5","340","3.3","330","0.0","0.0","...","0.00","...","0","..."
"04","1001.3","1005.6","25.0","20.9","78","1.8","340","3.3","330","0.0","0.0","...","0.00","...","0","..."
"05","1001.5","1005.8","25.2","20.3","74","2.8","330","3.3","330","0.0","0.0","...","0.00","...","0","..."
"06","1001.7","1006.0","26.4","20.9","72","2.8","330","3.9","330","0.0","0.0","0.6","0.04","...","0","..."
"07","1002.2","1006.5","28.1","22.3","71","0.9","250","3.1","330","0.0","0.0","0.9","0.63","...","1","..."
"08","1002.6","1006.9","27.9","24.2","80","0.2","0","1.6","250","0.0","0.0","0.3","0.84","...","2","..."
"09","1003.0","1007.2","28.9","23.6","73","1.1","190","2.0","180","0.0","0.0","0.6","1.74","...","5","..."
"10","1003.1","1007.3","29.8","25.0","76","1.1","190","2.3","170","0.0","0.0","1.0","2.97","...","10","..."
"11","1002.7","1006.9","29.5","25.5","79","1.3","170","2.4","190","0.0","0.0","1.0","3.00","...","12","..."
"12","1002.1","1006.3","30.3","25.2","74","1.5","170","2.2","150","0.0","0.0","1.0","3.07","...","14","..."
"13","1001.5","1005.7","30.1","24.3","71","2.0","150","2.9","140","0.0","0.0","1.0","2.76","...","12","..."
"14","1001.0","1005.2","30.7","25.3","73","1.6","120","3.9","140","0.0","0.0","1.0","3.00","...","12","..."
"15","1000.4","1004.6","31.5","23.1","61","3.0","100","4.6","90","0.0","0.0","1.0","2.55","...","8","..."
"16","1000.2","1004.4","31.9","22.3","57","4.4","30","6.3","30","0.0","0.0","1.0","1.95","...","5","..."
"17","1000.4","1004.6","31.3","23.2","62","3.5","30","6.8","40","0.0","0.0","1.0","1.21","...","2","..."
"18","1000.8","1005.0","29.1","23.3","71","2.5","30","6.8","30","0.0","0.0","0.4","0.24","...","0","..."
"19","1002.0","1006.2","28.2","24.0","78","2.3","20","5.5","10","0.0","0.0","0.0","0.00","...","0","..."
"20","1003.1","1007.4","27.1","24.0","83","1.1","310","4.6","20","0.0","0.0","...","0.00","...","0","..."
"21","1004.0","1008.3","26.6","23.5","83","2.5","330","3.4","330","0.0","0.0","...","0.00","...","0","..."
"22","1004.5","1008.8","27.3","22.5","75","2.5","350","4.0","360","0.0","0.0","...","0.00","...","0","..."
"23","1004.4","1008.7","27.5","22.0","72","2.5","350","4.4","350","0.0","0.0","...","0.00","...","0","..."
"24","1004.2","1008.5","26.3","21.6","75","2.4","330","3.6","330","0.0","0.0","...","0.00","...","0","..."
