"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1005.6","...","27.7","...","76","2.8","176","...","...","0.0","...","...","...","...","...","..."
"02","1005.3","...","27.6","...","75","2.6","179","...","...","0.0","...","...","...","...","...","..."
"03","1004.9","...","27.4","...","76","2.5","170","...","...","0.0","...","...","...","...","...","..."
"04","1004.4","...","27.4","...","76","2.0","168","...","...","0.0","...","...","...","...","...","..."
"05","1004.3","...","27.5","...","74","2.5","185","...","...","0.0","...","...","...","...","...","..."
"06","1004.7","...","27.9","...","72","2.7","186","...","...","0.0","...","...","...","...","...","..."
"07","1005.4","...","28.1","...","72","2.5","189","...","...","0.0","...","...","...","...","...","..."
"08","1005.8","...","29.1","...","72","2.7","204","...","...","0.0","...","...","...","...","...","..."
"09","1006.2","...","30.6","...","69","3.4","203","...","...","0.0","...","...","...","...","...","..."
"10","1005.8","...","31.7","...","64","4.0","193","...","...","0.0","...","...","...","...","...","..."
"11","1005.6","...","32.6","...","61","3.7","191","...","...","0.0","...","...","...","...","...","..."
"12","1005.1","...","31.9","...","66","4.8","212","...","...","0.0","...","...","...","...","...","..."
"13","1004.7","...","32.5","...","64","5.7","219","...","...","0.0","...","...","...","...","...","..."
"14","1004.5","...","31.5","...","71","5.7","217","...","...","0.0","...","...","...","...","...","..."
"15","1004.0","...","31.0","...","70","6.3","231","...","...","0.0","...","...","...","...","...","..."
"16","1003.8","...","31.3","...","71","4.7","211","...","...","0.0","...","...","...","...","...","..."
"17","1004.0","...","30.9","...","71","3.7","210","...","...","0.0","...","...","...","...","...","..."
"18","1004.3","...","30.1","...","73","4.1","211","...","...","0.0","...","...","...","...","...","..."
"19","1005.1","...","29.0","...","79","2.0","195","...","...","0.0","...","...","...","...","...","..."
"20","1006.0","...","28.7","...","79","2.0","188","...","...","0.0","...","...","...","...","...","..."
"21","1007.0","...","28.2","...","83","1.6","201","...","...","0.0","...","...","...","...","...","..."
"22","1007.6","...","28.0","...","83","1.8","182","...","...","0.0","...","...","...","...","...","..."
"23","1007.6","...","27.8","...","83","1.6","184","...","...","0.0","...","...","...","...","...","..."
"24","1007.3","...","27.7","...","85","1.9","185","...","...","0.0","...","...","...","...","...","..."
