"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1005.5","...","25.5","...","93","1.9","166","...","...","0.5","...","...","...","...","...","..."
"02","1005.1","...","25.3","...","94","1.6","130","...","...","0.0","...","...","...","...","...","..."
"03","1005.3","...","25.3","...","93","1.7","131","...","...","0.0","...","...","...","...","...","..."
"04","1005.3","...","25.2","...","94","1.9","116","...","...","0.0","...","...","...","...","...","..."
"05","1005.1","...","25.1","...","93","1.5","151","...","...","0.0","...","...","...","...","...","..."
"06","1005.4","...","25.4","...","92","1.4","185","...","...","0.0","...","...","...","...","...","..."
"07","1006.1","...","27.0","...","86","2.5","211","...","...","0.0","...","...","...","...","...","..."
"08","1006.3","...","27.9","...","85","2.8","203","...","...","0.0","...","...","...","...","...","..."
"09","1006.0","...","28.6","...","77","3.2","194","...","...","0.0","...","...","...","...","...","..."
"10","1006.5","...","29.1","...","75","2.9","205","...","...","0.0","...","...","...","...","...","..."
"11","1006.3","...","30.4","...","74","3.1","198","...","...","0.0","...","...","...","...","...","..."
"12","1005.7","...","30.1","...","75","3.1","233","...","...","0.0","...","...","...","...","...","..."
"13","1005.4","...","30.2","...","77","3.1","220","...","...","0.0","...","...","...","...","...","..."
"14","1005.0","...","29.7","...","78","3.5","225","...","...","0.0","...","...","...","...","...","..."
"15","1004.7","...","28.3","...","83","3.5","191","...","...","0.0","...","...","...","...","...","..."
"16","1004.8","...","28.0","...","84","3.1","184","...","...","0.0","...","...","...","...","...","..."
"17","1004.9","...","28.5","...","81","2.0","186","...","...","0.0","...","...","...","...","...","..."
"18","1004.9","...","28.3","...","82","1.7","198","...","...","0.0","...","...","...","...","...","..."
"19","1004.8","...","28.2","...","80","1.5","181","...","...","0.0","...","...","...","...","...","..."
"20","1004.9","...","27.7","...","82","0.9","178","...","...","0.0","...","...","...","...","...","..."
"21","1005.5","...","27.2","...","86","0.0","0","...","...","0.0","...","...","...","...","...","..."
"22","1005.8","...","27.2","...","86","0.7","222","...","...","0.0","...","...","...","...","...","..."
"23","1006.2","...","26.7","...","90","1.3","179","...","...","0.0","...","...","...","...","...","..."
"24","1006.2","...","26.4","...","90","1.1","201","...","...","0.0","...","...","...","...","...","..."
