"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.2","...","27.4","...","90","1.6","120","...","...","0.0","...","...","...","...","...","..."
"02","1005.5","...","27.7","...","89","0.7","133","...","...","0.0","...","...","...","...","...","..."
"03","1006.0","...","28.1","...","83","1.7","153","...","...","0.0","...","...","...","...","...","..."
"04","1005.3","...","28.7","...","84","0.0","0","...","...","0.0","...","...","...","...","...","..."
"05","1005.5","...","27.7","...","89","1.3","118","...","...","0.0","...","...","...","...","...","..."
"06","1005.6","...","27.8","...","89","1.3","142","...","...","0.0","...","...","...","...","...","..."
"07","1005.4","...","28.8","...","83","1.4","160","...","...","0.0","...","...","...","...","...","..."
"08","1005.4","...","29.3","...","76","1.8","168","...","...","0.0","...","...","...","...","...","..."
"09","1005.8","...","30.6","...","68","0.9","209","...","...","0.0","...","...","...","...","...","..."
"10","1006.1","...","31.0","...","70","1.4","235","...","...","0.0","...","...","...","...","...","..."
"11","1006.2","...","31.1","...","71","3.1","256","...","...","0.0","...","...","...","...","...","..."
"12","1005.4","...","32.2","...","66","3.8","236","...","...","0.0","...","...","...","...","...","..."
"13","1004.7","...","32.3","...","65","4.0","228","...","...","0.0","...","...","...","...","...","..."
"14","1004.1","...","32.6","...","64","5.0","219","...","...","0.0","...","...","...","...","...","..."
"15","1004.3","...","32.3","...","68","4.3","231","...","...","0.0","...","...","...","...","...","..."
"16","1004.5","...","31.4","...","69","4.3","221","...","...","0.0","...","...","...","...","...","..."
"17","1004.5","...","31.2","...","70","4.2","230","...","...","0.0","...","...","...","...","...","..."
"18","1005.2","...","30.0","...","79","3.4","236","...","...","0.0","...","...","...","...","...","..."
"19","1005.9","...","29.8","...","80","1.6","264","...","...","0.0","...","...","...","...","...","..."
"20","1006.3","...","30.4","...","74","2.5","237","...","...","0.0","...","...","...","...","...","..."
"21","1007.2","...","30.8","...","72","2.3","207","...","...","0.0","...","...","...","...","...","..."
"22","1007.5","...","30.6","...","74","1.6","196","...","...","0.0","...","...","...","...","...","..."
"23","1007.6","...","28.5","...","84","2.6","36","...","...","0.0","...","...","...","...","...","..."
"24","1007.2","...","28.2","...","86","2.8","35","...","...","0.0","...","...","...","...","...","..."
