"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1010.7","...","1012.6","2018-04-01 10:23","1009.0","2018-04-01 15:34","23.9","27.8","2018-04-01 12:42","20.6","2018-04-01 06:23","...","75","46","2018-04-01 13:49","1.6","7","8.5","280","2018-04-01 11:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1011.1","...","1012.4","2018-04-02 10:23","1009.6","2018-04-02 16:05","24.1","27.3","2018-04-02 13:45","21.9","2018-04-02 04:32","...","74","52","2018-04-02 12:10","1.3","304","7.0","284","2018-04-02 12:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1011.7","...","1013.4","2018-04-03 10:01","1010.3","2018-04-03 03:37","24.2","27.3","2018-04-03 10:44","22.2","2018-04-03 05:32","...","74","56","2018-04-03 10:38","1.4","312","6.5","306","2018-04-03 14:13","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1010.7","...","1012.6","2018-04-04 09:40","1008.8","2018-04-04 16:04","24.4","29.0","2018-04-04 13:40","20.7","2018-04-04 05:38","...","73","53","2018-04-04 16:29","1.5","80","7.7","7","2018-04-04 14:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1009.8","...","1011.4","2018-04-05 09:26","1008.0","2018-04-05 15:44","25.2","29.3","2018-04-05 11:45","22.4","2018-04-05 00:23","...","72","51","2018-04-05 11:44","1.3","9","7.8","322","2018-04-05 12:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1011.7","...","1017.0","2018-04-06 23:19","1008.4","2018-04-06 03:04","22.6","28.5","2018-04-06 10:27","16.8","2018-04-06 23:51","...","71","54","2018-04-06 22:28","2.6","30","16.1","14","2018-04-06 21:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1018.3","...","1020.1","2018-04-07 21:15","1016.1","2018-04-07 03:50","17.3","18.7","2018-04-07 12:39","16.2","2018-04-07 23:27","...","51","42","2018-04-07 22:46","2.5","32","13.6","29","2018-04-07 01:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1017.3","...","1019.4","2018-04-08 00:02","1015.9","2018-04-08 17:02","19.2","24.4","2018-04-08 13:24","13.3","2018-04-08 05:54","...","53","34","2018-04-08 00:48","1.6","31","7.9","312","2018-04-08 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1015.8","...","1017.9","2018-04-09 08:53","1013.8","2018-04-09 15:41","20.7","26.2","2018-04-09 11:37","15.6","2018-04-09 05:56","...","62","43","2018-04-09 11:37","1.4","107","7.5","331","2018-04-09 12:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1012.8","...","1014.9","2018-04-10 07:47","1010.5","2018-04-10 15:57","23.1","28.5","2018-04-10 13:00","17.0","2018-04-10 05:32","...","62","36","2018-04-10 09:46","1.5","6","6.6","318","2018-04-10 13:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1010.0","...","1012.2","2018-04-11 08:30","1007.7","2018-04-11 16:41","25.6","30.3","2018-04-11 10:36","21.2","2018-04-11 04:27","...","75","57","2018-04-11 10:18","1.6","287","7.5","298","2018-04-11 14:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"12","1009.4","...","1011.2","2018-04-12 22:50","1007.5","2018-04-12 15:49","27.1","29.9","2018-04-12 16:36","25.2","2018-04-12 00:04","...","80","57","2018-04-12 16:33","2.4","198","9.6","296","2018-04-12 13:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1010.3","...","1011.9","2018-04-13 08:56","1008.3","2018-04-13 15:13","27.0","30.5","2018-04-13 10:45","23.7","2018-04-13 06:05","...","80","64","2018-04-13 10:46","2.1","93","8.6","301","2018-04-13 14:22","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1009.1","...","1010.9","2018-04-14 08:45","1007.0","2018-04-14 15:35","27.5","31.2","2018-04-14 11:14","25.2","2018-04-14 04:41","...","80","58","2018-04-14 11:05","2.2","217","10.3","294","2018-04-14 13:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1009.9","...","1012.7","2018-04-15 19:17","1007.9","2018-04-15 02:58","23.4","26.6","2018-04-15 14:26","17.6","2018-04-15 22:23","...","80","60","2018-04-15 14:36","2.5","7","11.1","9","2018-04-15 12:47","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1012.3","...","1014.5","2018-04-16 23:22","1010.3","2018-04-16 14:43","21.3","25.6","2018-04-16 14:48","18.0","2018-04-16 04:20","...","74","59","2018-04-16 14:27","2.3","12","7.7","3","2018-04-16 13:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1013.8","...","1015.9","2018-04-17 09:10","1011.7","2018-04-17 16:38","20.2","25.0","2018-04-17 14:13","17.8","2018-04-17 05:36","...","79","63","2018-04-17 14:13","2.0","40","8.9","10","2018-04-17 15:41","4.5","...","...","","...","","...","...","...","...","...","...","","..."
"18","1012.7","...","1014.6","2018-04-18 08:43","1011.1","2018-04-18 16:16","21.3","26.5","2018-04-18 13:09","16.9","2018-04-18 03:20","...","74","57","2018-04-18 12:59","1.6","2","6.9","3","2018-04-18 13:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","1012.0","...","1013.5","2018-04-19 09:00","1011.0","2018-04-19 15:39","23.8","28.7","2018-04-19 14:35","20.4","2018-04-19 01:02","...","76","57","2018-04-19 12:26","1.2","337","7.0","316","2018-04-19 13:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1012.0","...","1013.3","2018-04-20 10:41","1010.5","2018-04-20 18:18","24.2","27.7","2018-04-20 12:40","21.2","2018-04-20 05:22","...","76","54","2018-04-20 12:36","1.3","310","5.7","302","2018-04-20 12:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1011.1","...","1012.5","2018-04-21 08:31","1009.4","2018-04-21 16:12","24.9","28.6","2018-04-21 12:08","21.0","2018-04-21 05:06","...","77","56","2018-04-21 14:57","1.2","4","6.4","325","2018-04-21 12:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.3","...","1011.2","2018-04-22 07:40","1007.5","2018-04-22 14:48","26.8","31.9","2018-04-22 12:26","23.1","2018-04-22 01:39","...","72","50","2018-04-22 12:00","1.2","318","7.4","288","2018-04-22 14:18","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1006.8","...","1008.4","2018-04-24 00:00","1004.2","2018-04-23 16:05","27.7","31.5","2018-04-23 11:11","23.9","2018-04-23 05:21","...","74","56","2018-04-23 10:09","2.6","119","10.0","232","2018-04-23 16:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1007.1","...","1008.7","2018-04-24 22:46","1005.6","2018-04-24 15:11","26.5","29.5","2018-04-24 12:10","23.8","2018-04-24 23:52","...","81","63","2018-04-24 12:17","2.4","6","7.0","297","2018-04-24 13:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1009.0","...","1010.8","2018-04-25 22:09","1007.4","2018-04-25 02:25","23.8","27.9","2018-04-25 13:18","21.3","2018-04-25 05:50","...","73","60","2018-04-25 13:19","1.6","13","6.1","22","2018-04-25 17:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1010.6","...","1012.9","2018-04-26 21:49","1008.4","2018-04-26 03:29","24.7","29.9","2018-04-26 13:02","21.4","2018-04-26 06:47","...","69","54","2018-04-26 12:52","1.6","3","8.1","326","2018-04-26 13:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1012.5","...","1014.1","2018-04-27 22:03","1010.8","2018-04-27 02:16","25.3","29.4","2018-04-27 11:32","21.7","2018-04-27 04:02","...","74","56","2018-04-27 10:05","1.5","8","8.8","6","2018-04-27 15:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1012.2","...","1013.9","2018-04-28 09:48","1009.9","2018-04-28 16:14","25.6","29.5","2018-04-28 14:33","23.0","2018-04-28 04:02","...","79","60","2018-04-28 14:34","1.2","10","6.4","8","2018-04-28 12:49","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1011.0","...","1012.6","2018-04-29 08:05","1008.8","2018-04-29 16:54","26.1","29.7","2018-04-29 13:10","23.0","2018-04-29 06:06","...","78","47","2018-04-29 14:16","1.5","322","6.5","311","2018-04-29 12:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1011.1","...","1012.9","2018-04-30 09:51","1009.8","2018-04-30 16:15","26.6","29.8","2018-04-30 12:27","23.8","2018-04-30 06:00","...","78","61","2018-04-30 14:04","1.3","1","6.7","328","2018-04-30 14:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
