"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1012.5","...","1014.4","2016-04-01 09:34","1010.9","2016-04-01 02:56","22.2","26.5","2016-04-01 15:16","20.1","2016-04-01 05:22","...","85","66","2016-04-01 14:49","1.5","319","6.2","321","2016-04-01 15:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1013.2","...","1015.1","2016-04-02 08:38","1010.9","2016-04-02 15:15","23.6","29.0","2016-04-02 13:28","20.4","2016-04-02 06:25","...","82","59","2016-04-02 13:27","1.2","1","6.4","291","2016-04-02 15:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1012.0","...","1013.7","2016-04-03 08:28","1010.4","2016-04-03 16:46","24.6","28.4","2016-04-03 13:03","21.3","2016-04-03 05:24","...","84","60","2016-04-03 13:37","2.3","97","8.9","210","2016-04-03 10:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1010.8","...","1012.4","2016-04-04 09:10","1009.3","2016-04-04 16:34","24.5","28.6","2016-04-04 14:27","21.2","2016-04-04 06:30","...","85","59","2016-04-04 14:35","1.6","269","6.4","269","2016-04-04 13:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1012.1","...","1014.1","2016-04-05 09:44","1010.3","2016-04-05 15:36","24.2","28.2","2016-04-05 15:36","21.5","2016-04-05 05:47","...","84","64","2016-04-05 12:03","1.6","5","6.1","312","2016-04-05 12:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1011.1","...","1013.6","2016-04-06 08:50","1008.8","2016-04-06 17:00","25.8","29.6","2016-04-06 12:36","21.5","2016-04-06 04:46","...","77","61","2016-04-06 11:48","2.1","216","10.1","207","2016-04-06 15:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1011.1","...","1012.9","2016-04-07 21:49","1009.1","2016-04-07 15:56","26.8","31.9","2016-04-07 11:19","22.8","2016-04-07 05:50","...","81","54","2016-04-07 11:27","3.3","231","12.4","223","2016-04-07 12:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1011.3","...","1012.8","2016-04-08 10:23","1009.5","2016-04-08 15:31","25.6","30.5","2016-04-08 12:58","22.1","2016-04-08 23:52","...","82","46","2016-04-08 13:02","1.8","168","9.1","299","2016-04-08 10:08","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1010.2","...","1012.3","2016-04-09 00:22","1007.2","2016-04-09 15:48","24.8","29.3","2016-04-09 12:58","21.7","2016-04-09 04:46","...","82","57","2016-04-09 12:49","1.7","35","7.4","268","2016-04-09 12:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1008.1","...","1010.1","2016-04-10 21:47","1006.3","2016-04-10 15:21","24.4","29.3","2016-04-10 12:13","20.9","2016-04-10 17:40","...","85","57","2016-04-10 10:48","2.0","33","19.6","282","2016-04-10 16:06","26.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1008.6","...","1010.3","2016-04-11 09:16","1005.1","2016-04-11 06:07","22.3","25.1","2016-04-11 13:26","20.7","2016-04-11 23:57","...","92","76","2016-04-11 14:04","1.9","351","8.5","117","2016-04-11 06:03","25.0","...","...","","...","","...","...","...","...","...","...","","..."
