"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.4","...","1003.9","2017-06-01 10:04","1000.6","2017-06-01 17:42","27.7","29.8","2017-06-01 10:55","26.1","2017-06-01 00:15","...","85","73","2017-06-01 11:21","3.3","178","11.0","238","2017-06-01 14:50","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","1001.9","...","1003.4","2017-06-02 20:20","1000.9","2017-06-02 03:11","27.4","29.5","2017-06-02 11:41","23.1","2017-06-02 23:32","...","89","81","2017-06-02 11:55","4.7","230","13.6","222","2017-06-02 12:42","24.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1002.0","...","1004.0","2017-06-03 23:16","1000.6","2017-06-03 18:13","27.7","29.9","2017-06-03 10:49","23.4","2017-06-03 00:04","...","91","82","2017-06-03 10:52","5.0","224","13.7","248","2017-06-03 22:21","15.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1004.2","...","1006.4","2017-06-04 23:27","1002.5","2017-06-04 01:50","26.4","32.4","2017-06-04 14:13","24.2","2017-06-04 09:42","...","90","64","2017-06-04 14:17","1.7","77","12.0","301","2017-06-04 15:32","97.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1006.5","...","1008.4","2017-06-05 23:59","1004.9","2017-06-05 01:59","27.5","31.2","2017-06-05 14:21","24.9","2017-06-05 08:32","...","88","70","2017-06-05 13:50","1.3","225","8.1","276","2017-06-05 07:36","7.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1008.2","...","1009.3","2017-06-06 07:07","1006.4","2017-06-06 16:21","28.9","32.4","2017-06-06 11:31","25.7","2017-06-06 05:44","...","83","65","2017-06-06 11:31","2.0","245","8.5","287","2017-06-06 15:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1008.5","...","1009.9","2017-06-07 23:17","1006.7","2017-06-07 15:59","29.2","32.5","2017-06-07 11:06","26.3","2017-06-07 03:32","...","81","64","2017-06-07 10:37","1.8","123","7.4","306","2017-06-07 16:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1008.6","...","1009.9","2017-06-08 07:58","1006.7","2017-06-08 16:58","29.1","32.3","2017-06-08 12:38","26.2","2017-06-08 05:24","...","79","60","2017-06-08 16:05","1.4","326","8.3","296","2017-06-08 13:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1008.0","...","1009.2","2017-06-09 00:01","1006.5","2017-06-09 16:43","29.2","32.1","2017-06-09 12:31","26.5","2017-06-09 02:10","...","78","61","2017-06-09 11:51","1.4","5","7.9","295","2017-06-09 13:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1006.8","...","1009.2","2017-06-10 00:13","1005.1","2017-06-10 15:48","29.9","32.7","2017-06-10 10:28","26.7","2017-06-10 05:19","...","77","60","2017-06-10 11:05","2.4","235","11.0","234","2017-06-10 15:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
