"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.5","1005.7","28.1","23.7","77","2.5","190","14.4","190","0.0","0.0","...","0.00","...","0","..."
"02","1001.0","1005.2","27.9","23.5","77","2.7","170","13.0","230","0.0","0.0","...","0.00","...","0","..."
"03","1000.9","1005.1","28.2","23.2","74","2.0","260","11.9","200","0.0","0.0","...","0.00","...","0","..."
"04","1000.8","1005.0","28.0","23.8","78","1.8","260","13.3","170","0.0","0.0","...","0.00","...","0","..."
"05","1000.8","1005.1","27.7","24.1","81","2.3","200","10.2","200","0.0","0.0","...","0.00","...","0","..."
"06","1000.8","1005.0","27.8","24.2","81","4.5","210","14.2","190","0.0","0.0","0.4","0.04","...","0","..."
"07","1000.9","1005.1","28.5","24.0","77","2.2","230","13.6","190","0.0","0.0","1.0","0.77","...","0","..."
"08","1000.7","1004.9","28.9","24.3","76","7.6","190","16.6","200","0.0","0.0","1.0","1.54","30.0","2","1.0"
"09","1000.6","1004.8","29.3","24.4","75","5.1","190","17.4","210","0.0","0.0","1.0","2.31","30.0","4","1.0"
"10","1001.0","1005.2","29.6","24.5","74","5.0","190","16.9","180","0.0","0.0","1.0","3.00","...","7","..."
"11","1000.7","1004.9","29.9","24.9","75","2.8","210","14.3","190","0.0","0.0","1.0","3.54","30.0","10","1.0"
"12","1000.4","1004.6","30.5","24.5","70","3.6","200","14.9","180","0.0","0.0","1.0","3.60","...","11","..."
"13","1000.1","1004.3","30.6","24.6","70","2.7","220","12.7","170","0.0","0.0","1.0","3.60","...","11","..."
"14","999.6","1003.8","30.5","24.6","71","3.8","200","13.5","190","0.0","0.0","1.0","3.54","30.0","10","1.0"
"15","999.2","1003.4","30.5","24.5","70","5.2","200","16.3","190","0.0","0.0","1.0","2.91","...","7","..."
"16","998.8","1003.0","30.0","24.4","72","4.3","200","15.9","200","0.0","0.0","1.0","2.17","...","4","..."
"17","998.8","1003.0","29.7","23.6","70","4.8","210","17.5","210","0.0","0.0","1.0","1.28","30.0","2","1.0"
"18","999.6","1003.8","28.7","23.7","74","4.0","200","17.8","190","0.0","0.0","0.5","0.31","...","0","..."
"19","1000.3","1004.5","28.4","23.5","75","3.1","210","14.3","200","0.0","0.0","0.0","0.00","...","0","..."
"20","1001.4","1005.6","28.6","22.8","71","3.8","220","11.9","180","0.0","0.0","...","0.00","...","0","..."
"21","1001.8","1006.0","28.4","22.6","71","1.4","30","10.8","170","0.0","0.0","...","0.00","...","0","..."
"22","1002.3","1006.6","27.6","23.4","78","0.7","10","8.4","130","0.0","0.0","...","0.00","...","0","..."
"23","1002.7","1007.0","27.7","22.6","74","2.3","240","6.0","210","0.0","0.0","...","0.00","...","0","..."
"24","1002.7","1007.0","27.5","22.4","74","1.7","240","4.5","240","0.0","0.0","...","0.00","...","0","..."
