"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1003.8","1008.1","25.3","22.6","85","1.6","310","2.0","310","0.0","0.0","...","0.00","...","0","..."
"02","1003.5","1007.8","25.4","22.9","86","1.1","330","2.7","340","0.0","0.0","...","0.00","...","0","..."
"03","1003.1","1007.4","25.9","23.2","85","1.7","330","2.4","330","0.0","0.0","...","0.00","...","0","..."
"04","1003.2","1007.5","25.6","23.7","89","0.0","0","2.9","320","0.0","0.0","...","0.00","...","0","..."
"05","1003.5","1007.8","25.5","23.3","88","0.3","360","2.2","330","0.0","0.0","...","0.00","...","0","..."
"06","1004.2","1008.5","25.6","23.3","87","0.1","0","1.6","290","0.0","0.0","0.0","0.01","...","0","..."
"07","1004.5","1008.8","27.5","23.7","80","1.1","230","3.3","260","0.0","0.0","0.3","0.46","...","0","..."
"08","1004.2","1008.5","28.2","24.8","82","2.0","180","5.6","200","0.0","0.0","0.5","1.02","...","2","..."
"09","1004.3","1008.5","29.4","25.9","82","1.2","200","7.1","210","0.0","0.0","1.0","2.04","...","4","..."
"10","1004.0","1008.2","29.4","26.0","82","3.3","190","6.3","190","0.0","0.0","1.0","2.91","...","8","..."
"11","1003.7","1007.9","29.6","26.1","82","3.3","190","7.0","180","0.0","0.0","1.0","3.31","...","11","..."
"12","1003.1","1007.3","29.3","26.0","82","5.2","180","9.8","180","0.0","0.0","1.0","3.49","...","12","..."
"13","1002.8","1007.0","29.7","26.9","85","3.7","190","10.4","190","0.0","0.0","1.0","3.53","...","12","..."
"14","1001.6","1005.8","29.5","26.0","82","6.3","190","12.3","200","0.0","0.0","0.9","3.11","...","10","..."
"15","1001.4","1005.6","29.4","26.2","83","5.7","190","12.1","180","0.0","0.0","1.0","2.62","...","9","..."
"16","1000.8","1005.0","28.8","25.6","83","4.6","190","13.7","170","0.0","0.0","1.0","1.44","...","3","..."
"17","1000.8","1005.0","28.7","24.6","79","2.2","180","13.1","180","0.0","0.0","0.7","0.96","...","1","..."
"18","1001.3","1005.5","28.2","24.5","80","1.7","200","8.3","220","0.0","0.0","0.0","0.34","...","0","..."
"19","1002.2","1006.4","28.5","23.8","76","3.3","230","10.8","220","0.0","0.0","0.0","0.04","...","0","..."
"20","1002.8","1007.1","28.1","23.3","75","2.5","230","9.7","220","0.0","0.0","...","0.00","...","0","..."
"21","1003.4","1007.7","27.5","23.3","78","1.3","230","6.1","210","0.0","0.0","...","0.00","...","0","..."
"22","1004.2","1008.5","27.2","23.4","80","2.1","230","5.3","210","0.0","0.0","...","0.00","...","0","..."
"23","1004.5","1008.8","27.3","24.2","83","1.6","200","5.7","200","0.0","0.0","...","0.00","...","0","..."
"24","1004.1","1008.4","27.2","23.8","82","3.3","210","7.9","200","0.0","0.0","...","0.00","...","0","..."
