"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1000.9","1005.2","26.2","24.0","88","1.2","330","2.3","330","0.0","0.0","...","0.00","...","0","..."
"02","1000.7","1005.0","26.0","24.0","89","2.5","340","3.0","330","0.0","0.0","...","0.00","...","0","..."
"03","1000.4","1004.7","26.1","23.8","87","2.7","330","3.5","330","0.0","0.0","...","0.00","...","0","..."
"04","1000.4","1004.7","25.8","23.4","87","1.8","320","3.4","330","0.0","0.0","...","0.00","...","0","..."
"05","1000.4","1004.7","25.4","23.1","87","2.2","330","3.0","320","0.0","0.0","...","0.00","...","0","..."
"06","1000.7","1005.0","26.2","23.7","86","2.3","340","3.3","330","0.0","0.0","0.5","0.11","...","0","..."
"07","1000.9","1005.1","29.1","25.6","81","0.3","90","2.5","340","0.0","0.0","1.0","0.71","...","1","..."
"08","1000.8","1005.0","29.9","25.1","76","0.6","140","1.8","140","0.0","0.0","1.0","1.50","...","2","..."
"09","1000.5","1004.7","30.3","25.5","76","1.5","140","2.3","140","0.0","0.0","1.0","2.28","...","5","..."
"10","1000.0","1004.2","30.1","26.0","79","1.5","130","2.9","140","0.0","0.0","1.0","2.99","...","8","..."
"11","999.7","1003.9","31.5","26.8","76","2.3","90","3.8","70","0.0","0.0","1.0","3.47","...","11","..."
"12","999.2","1003.4","31.5","27.6","80","2.0","110","4.9","130","0.0","0.0","1.0","3.72","...","13","..."
"13","999.1","1003.3","32.0","27.6","78","3.7","90","6.3","100","0.0","0.0","1.0","3.73","...","12","..."
"14","998.8","1003.0","32.5","26.8","72","4.1","40","7.3","30","0.0","0.0","1.0","3.35","...","10","..."
"15","998.6","1002.8","32.1","26.7","73","5.5","30","7.9","40","0.0","0.0","1.0","2.82","...","7","..."
"16","998.4","1002.6","32.3","26.1","70","3.9","30","8.0","30","0.0","0.0","1.0","2.28","...","4","..."
"17","998.6","1002.8","31.0","25.3","72","3.9","20","7.9","20","0.0","0.0","1.0","1.13","...","2","..."
"18","999.0","1003.2","29.6","24.6","75","3.5","20","6.6","20","0.0","0.0","0.5","0.52","...","0","..."
"19","999.5","1003.7","28.6","25.0","81","2.0","10","6.0","30","0.0","0.0","0.0","0.06","...","0","..."
"20","999.6","1003.8","27.5","24.4","83","1.6","340","3.2","40","0.0","0.0","...","0.00","...","0","..."
"21","999.9","1004.2","26.7","24.1","86","0.0","0","2.4","320","0.0","0.0","...","0.00","...","0","..."
"22","999.9","1004.2","26.6","23.8","85","0.2","0","2.0","270","0.0","0.0","...","0.00","...","0","..."
"23","999.8","1004.1","26.5","23.6","84","1.1","280","3.0","220","0.0","0.0","...","0.00","...","0","..."
"24","999.5","1003.8","26.2","23.3","84","0.0","0","2.3","240","0.0","0.0","...","0.00","...","0","..."
