"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1004.5","1007.8","25.8","24.1","90","0.0","0","1.7","110","0.0","0.0","...","0.00","...","0","..."
"02","1004.1","1007.4","25.6","24.1","91","1.1","120","1.6","120","0.0","0.0","...","0.00","...","0","..."
"03","1004.3","1007.6","25.5","23.9","91","1.9","120","3.0","120","0.5","0.4","...","0.00","...","0","..."
"04","1004.4","1007.7","25.6","24.2","92","1.6","110","3.0","100","0.0","0.0","...","0.00","...","0","..."
"05","1003.8","1007.1","25.4","24.0","92","1.4","140","2.7","140","0.0","0.0","...","0.00","40.0","0","8.0"
"06","1004.4","1007.7","25.9","23.5","87","1.6","170","4.0","150","0.0","0.0","0.0","0.00","...","0","..."
"07","1004.9","1008.2","27.2","24.3","84","1.1","180","3.5","160","0.0","0.0","0.1","0.49","...","0","..."
"08","1005.2","1008.5","29.6","25.7","80","2.8","220","5.5","240","0.0","0.0","0.6","1.16","30.0","2","8.0"
"09","1004.9","1008.1","30.6","25.2","73","2.2","180","6.0","180","0.0","0.0","0.9","2.11","30.0","5","8.0"
"10","1005.3","1008.5","31.0","24.4","68","3.4","220","7.7","220","0.0","0.0","0.6","2.32","...","7","9.0"
"11","1005.1","1008.3","31.3","24.9","69","3.6","220","6.5","190","0.0","0.0","0.1","1.47","30.0","5","8.0"
"12","1004.5","1007.7","31.9","24.8","66","4.4","220","8.0","230","0.0","0.0","0.4","2.34","...","10","8.0"
"13","1004.2","1007.4","31.7","25.4","69","3.5","220","7.8","260","0.0","0.0","0.3","2.11","...","8","9.0"
"14","1004.1","1007.4","27.9","25.6","87","3.4","220","11.9","240","5.0","0.7","0.0","0.66","4.0","2","10.0"
"15","1003.7","1007.0","27.9","25.9","89","2.6","180","7.7","240","8.5","0.7","0.0","0.60","...","2","10.0"
"16","1003.8","1007.1","28.5","25.2","82","2.4","200","6.3","210","0.0","0.0","0.0","0.60","...","2","10.0"
"17","1003.8","1007.1","29.1","24.4","76","2.3","170","5.9","220","0.0","0.0","0.0","0.60","30.0","1","9.0"
"18","1003.7","1007.0","29.1","24.1","74","1.1","180","5.2","220","0.0","0.0","0.0","0.42","...","0","..."
"19","1003.8","1007.1","28.3","24.2","78","0.9","210","3.2","230","0.0","0.0","0.0","0.00","...","0","..."
"20","1003.9","1007.2","27.1","25.0","88","0.8","290","1.9","280","0.0","0.0","...","0.00","20.0","0","8.0"
"21","1004.6","1007.9","26.9","25.1","90","1.4","20","2.5","50","0.0","0.0","...","0.00","20.0","0","8.0"
"22","1005.0","1008.3","26.4","24.8","91","0.1","0","2.5","50","0.0","0.0","...","0.00","...","0","..."
"23","1005.0","1008.3","26.9","24.7","88","1.3","160","2.6","170","0.0","0.0","...","0.00","...","0","..."
"24","1005.0","1008.3","26.1","24.2","89","0.1","0","2.0","150","0.0","0.0","...","0.00","...","0","..."
