"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.9","...","27.8","...","82","2.6","182","...","...","0.0","...","...","...","...","...","..."
"02","1006.7","...","27.3","...","82","1.8","192","...","...","0.0","...","...","...","...","...","..."
"03","1006.3","...","27.3","...","81","2.1","169","...","...","0.0","...","...","...","...","...","..."
"04","1005.8","...","27.2","...","80","2.1","180","...","...","0.0","...","...","...","...","...","..."
"05","1006.2","...","26.7","...","82","1.8","195","...","...","0.0","...","...","...","...","...","..."
"06","1006.5","...","27.3","...","79","2.5","179","...","...","0.0","...","...","...","...","...","..."
"07","1007.1","...","28.3","...","76","2.0","181","...","...","0.0","...","...","...","...","...","..."
"08","1007.6","...","29.6","...","74","2.9","188","...","...","0.0","...","...","...","...","...","..."
"09","1008.1","...","30.7","...","69","3.6","194","...","...","0.0","...","...","...","...","...","..."
"10","1008.1","...","31.4","...","66","4.2","220","...","...","0.0","...","...","...","...","...","..."
"11","1007.8","...","32.3","...","62","3.4","205","...","...","0.0","...","...","...","...","...","..."
"12","1007.2","...","32.2","...","64","3.4","214","...","...","0.0","...","...","...","...","...","..."
"13","1006.9","...","31.5","...","70","4.2","254","...","...","0.0","...","...","...","...","...","..."
"14","1006.6","...","30.7","...","69","4.5","254","...","...","0.0","...","...","...","...","...","..."
"15","1006.3","...","30.7","...","70","5.6","253","...","...","0.0","...","...","...","...","...","..."
"16","1006.1","...","30.8","...","71","5.2","256","...","...","0.0","...","...","...","...","...","..."
"17","1006.4","...","30.6","...","71","3.7","260","...","...","0.0","...","...","...","...","...","..."
"18","1006.6","...","30.2","...","75","1.6","251","...","...","0.0","...","...","...","...","...","..."
"19","1007.6","...","28.9","...","81","1.2","256","...","...","0.0","...","...","...","...","...","..."
"20","1008.1","...","28.7","...","84","0.3","208","...","...","0.0","...","...","...","...","...","..."
"21","1008.3","...","28.6","...","85","0.2","0","...","...","0.0","...","...","...","...","...","..."
"22","1008.7","...","28.4","...","85","0.7","181","...","...","0.0","...","...","...","...","...","..."
"23","1008.6","...","27.9","...","88","0.6","152","...","...","0.0","...","...","...","...","...","..."
"24","1008.1","...","27.6","...","88","1.1","139","...","...","0.0","...","...","...","...","...","..."
