"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"21","1007.1","...","1009.1","2017-04-21 08:53","1004.4","2017-04-21 15:50","26.4","30.0","2017-04-21 12:17","22.8","2017-04-21 23:59","...","89","58","2017-04-21 12:10","2.4","219","9.2","261","2017-04-21 16:13","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.0","...","1011.3","2017-04-22 21:15","1006.2","2017-04-22 02:18","19.7","22.8","2017-04-23 00:00","17.0","2017-04-22 20:54","...","91","65","2017-04-22 12:32","2.3","17","9.9","9","2017-04-22 12:58","7.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1011.1","...","1012.7","2017-04-23 22:59","1008.9","2017-04-23 04:42","21.0","24.7","2017-04-23 12:36","17.5","2017-04-23 00:27","...","92","64","2017-04-23 14:27","1.5","29","5.1","180","2017-04-23 11:57","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1011.8","...","1013.3","2017-04-24 09:40","1010.3","2017-04-24 16:26","23.5","27.4","2017-04-24 12:40","20.8","2017-04-24 05:40","...","85","58","2017-04-24 12:40","1.3","3","5.4","4","2017-04-24 13:32","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"25","1010.5","...","1012.4","2017-04-25 08:57","1008.7","2017-04-25 15:52","24.7","28.0","2017-04-25 11:07","21.7","2017-04-25 05:42","...","91","71","2017-04-25 11:40","1.2","9","6.2","4","2017-04-25 15:19","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1008.4","...","1010.5","2017-04-26 00:04","1005.9","2017-04-26 16:07","26.0","30.3","2017-04-26 14:00","23.0","2017-04-26 01:32","...","88","61","2017-04-26 13:37","1.9","11","7.9","290","2017-04-26 15:19","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1009.2","...","1012.0","2017-04-27 22:02","1006.7","2017-04-27 03:20","19.4","23.3","2017-04-27 00:08","16.2","2017-04-27 22:20","...","99","88","2017-04-27 23:46","2.2","17","11.4","9","2017-04-27 20:41","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"28","1010.8","...","1012.3","2017-04-28 08:18","1009.0","2017-04-28 16:02","20.0","24.8","2017-04-28 13:34","15.9","2017-04-28 03:42","...","65","47","2017-04-28 14:02","2.4","26","10.3","333","2017-04-28 15:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1011.1","...","1012.5","2017-04-29 09:32","1009.4","2017-04-29 16:24","21.9","26.9","2017-04-29 14:08","17.0","2017-04-29 03:21","...","60","40","2017-04-29 13:53","1.6","27","8.7","2","2017-04-29 14:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1011.0","...","1012.3","2017-04-30 08:45","1009.6","2017-04-30 16:19","23.3","27.9","2017-04-30 15:22","18.6","2017-04-30 04:57","...","62","32","2017-04-30 14:07","1.5","301","7.0","303","2017-04-30 12:10","0.0","...","...","","...","","...","...","...","...","...","...","","..."
