"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.8","...","1009.5","2018-06-01 22:48","1006.1","2018-06-01 15:52","28.2","32.9","2018-06-01 11:22","25.0","2018-06-01 23:47","...","77","57","2018-06-01 11:06","2.5","7","10.2","5","2018-06-01 16:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1007.8","...","1009.0","2018-06-02 00:29","1006.1","2018-06-02 15:56","27.1","32.1","2018-06-02 13:05","23.5","2018-06-02 05:10","...","74","57","2018-06-02 13:02","2.0","13","8.6","4","2018-06-02 16:17","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1006.3","...","1008.3","2018-06-03 00:05","1003.9","2018-06-03 16:13","28.3","33.6","2018-06-03 12:29","23.9","2018-06-03 05:30","...","73","49","2018-06-03 12:07","1.7","1","9.5","12","2018-06-03 14:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1006.5","...","1008.1","2018-06-04 23:02","1004.5","2018-06-04 14:57","29.4","34.1","2018-06-04 11:33","25.8","2018-06-04 04:42","...","73","52","2018-06-04 11:33","1.2","13","8.4","301","2018-06-04 15:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1006.9","...","1008.7","2018-06-05 22:00","1005.1","2018-06-05 14:54","29.7","33.9","2018-06-05 13:18","26.4","2018-06-05 04:16","...","74","55","2018-06-05 13:03","1.8","241","8.4","284","2018-06-05 16:06","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1006.1","...","1007.6","2018-06-06 00:01","1004.2","2018-06-06 15:15","30.0","34.6","2018-06-06 10:47","26.6","2018-06-06 04:42","...","70","43","2018-06-06 11:24","1.8","2","8.5","305","2018-06-06 14:47","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1004.6","...","1006.1","2018-06-07 00:12","1002.6","2018-06-07 15:03","29.2","33.8","2018-06-07 12:47","26.9","2018-06-07 23:59","...","80","61","2018-06-07 12:48","1.6","6","9.0","337","2018-06-07 14:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1000.9","...","1004.0","2018-06-09 00:00","998.9","2018-06-08 16:22","28.9","34.1","2018-06-08 12:01","25.5","2018-06-08 05:29","...","77","53","2018-06-08 12:01","1.8","3","8.2","309","2018-06-08 12:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","998.1","...","999.5","2018-06-09 22:09","995.7","2018-06-09 15:40","29.8","33.9","2018-06-09 14:52","26.8","2018-06-09 04:32","...","76","53","2018-06-09 15:04","1.7","7","6.6","305","2018-06-09 15:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","997.6","...","998.9","2018-06-10 00:10","995.6","2018-06-10 15:36","29.7","33.3","2018-06-10 13:38","27.1","2018-06-10 05:12","...","76","57","2018-06-10 13:24","2.0","120","8.7","260","2018-06-10 13:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
