"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1000.8","...","27.9","...","98","3.6","245","...","...","0.0","...","...","...","...","...","..."
"02","1000.8","...","27.9","...","98","4.5","244","...","...","0.0","...","...","...","...","...","..."
"03","1000.9","...","27.9","...","98","4.2","246","...","...","0.0","...","...","...","...","...","..."
"04","1001.2","...","27.9","...","98","3.1","246","...","...","0.0","...","...","...","...","...","..."
"05","1001.3","...","27.8","...","98","2.4","236","...","...","0.0","...","...","...","...","...","..."
"06","1001.6","...","28.1","...","97","1.6","242","...","...","0.0","...","...","...","...","...","..."
"07","1002.1","...","28.9","...","92","2.6","246","...","...","0.0","...","...","...","...","...","..."
"08","1002.0","...","29.5","...","88","4.0","252","...","...","0.0","...","...","...","...","...","..."
"09","1002.1","...","30.5","...","82","4.1","244","...","...","0.0","...","...","...","...","...","..."
"10","1001.8","...","30.7","...","80","4.8","243","...","...","0.0","...","...","...","...","...","..."
"11","1001.7","...","31.3","...","79","3.6","235","...","...","0.0","...","...","...","...","...","..."
"12","1001.1","...","31.4","...","75","5.4","250","...","...","0.0","...","...","...","...","...","..."
"13","1000.4","...","31.8","...","73","3.3","245","...","...","0.0","...","...","...","...","...","..."
"14","999.9","...","31.8","...","70","4.7","236","...","...","0.0","...","...","...","...","...","..."
"15","999.4","...","31.3","...","77","6.0","243","...","...","0.0","...","...","...","...","...","..."
"16","999.4","...","30.0","...","85","6.0","238","...","...","0.0","...","...","...","...","...","..."
"17","999.2","...","30.0","...","86","6.2","245","...","...","0.0","...","...","...","...","...","..."
"18","999.3","...","29.2","...","89","5.8","242","...","...","0.0","...","...","...","...","...","..."
"19","999.8","...","28.9","...","93","5.3","247","...","...","0.0","...","...","...","...","...","..."
"20","999.9","...","28.7","...","95","4.6","230","...","...","0.0","...","...","...","...","...","..."
"21","1000.1","...","28.4","...","97","5.3","244","...","...","0.0","...","...","...","...","...","..."
"22","1000.8","...","28.3","...","97","5.3","247","...","...","0.0","...","...","...","...","...","..."
"23","1000.8","...","28.3","...","98","4.2","245","...","...","0.0","...","...","...","...","...","..."
"24","1000.8","...","28.1","...","99","5.1","242","...","...","0.0","...","...","...","...","...","..."
