"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1001.8","...","26.6","...","94","3.3","206","...","...","0.0","...","...","...","...","...","..."
"02","1001.4","...","26.4","...","95","3.4","214","...","...","0.0","...","...","...","...","...","..."
"03","1001.2","...","26.3","...","96","2.7","199","...","...","0.0","...","...","...","...","...","..."
"04","1001.3","...","26.4","...","95","3.6","215","...","...","0.0","...","...","...","...","...","..."
"05","1001.2","...","26.4","...","94","3.3","209","...","...","0.0","...","...","...","...","...","..."
"06","1001.9","...","26.6","...","96","4.2","222","...","...","0.0","...","...","...","...","...","..."
"07","1002.4","...","26.6","...","94","4.3","223","...","...","0.0","...","...","...","...","...","..."
"08","1002.9","...","27.7","...","88","4.6","227","...","...","0.0","...","...","...","...","...","..."
"09","1003.0","...","27.3","...","91","3.0","236","...","...","0.0","...","...","...","...","...","..."
"10","1003.0","...","28.3","...","88","4.3","224","...","...","0.0","...","...","...","...","...","..."
"11","1003.1","...","28.5","...","91","3.9","212","...","...","0.0","...","...","...","...","...","..."
"12","1002.6","...","28.8","...","90","4.9","203","...","...","0.0","...","...","...","...","...","..."
"13","1002.0","...","29.2","...","88","5.3","221","...","...","0.0","...","...","...","...","...","..."
"14","1002.0","...","28.4","...","91","5.6","217","...","...","0.0","...","...","...","...","...","..."
"15","1001.4","...","29.1","...","89","4.5","202","...","...","0.0","...","...","...","...","...","..."
"16","1000.9","...","28.4","...","92","4.3","213","...","...","0.0","...","...","...","...","...","..."
"17","1001.3","...","28.4","...","92","5.0","202","...","...","0.0","...","...","...","...","...","..."
"18","1001.6","...","27.9","...","94","3.0","201","...","...","0.0","...","...","...","...","...","..."
"19","1002.4","...","27.8","...","94","3.8","196","...","...","0.0","...","...","...","...","...","..."
"20","1002.9","...","27.9","...","94","4.0","189","...","...","0.0","...","...","...","...","...","..."
"21","1003.6","...","27.7","...","96","4.1","177","...","...","0.0","...","...","...","...","...","..."
"22","1004.2","...","27.7","...","96","4.1","176","...","...","0.0","...","...","...","...","...","..."
"23","1004.6","...","27.8","...","96","4.2","187","...","...","0.0","...","...","...","...","...","..."
"24","1004.1","...","27.7","...","95","3.5","189","...","...","0.0","...","...","...","...","...","..."
