"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.3","...","1009.2","2017-04-01 23:43","1005.1","2017-04-01 06:13","16.9","21.9","2017-04-01 14:17","13.2","2017-04-01 03:46","...","71","49","2017-04-01 16:47","1.9","40","9.2","332","2017-04-01 06:55","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"02","1009.5","...","1011.4","2017-04-02 09:24","1007.9","2017-04-02 15:52","17.2","24.5","2017-04-02 13:42","10.4","2017-04-02 05:30","...","56","26","2017-04-02 13:43","1.7","105","8.9","318","2017-04-02 14:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.7","...","1011.6","2017-04-03 09:06","1007.9","2017-04-03 15:55","19.3","25.8","2017-04-03 14:55","13.4","2017-04-03 05:50","...","58","35","2017-04-03 14:23","1.7","315","6.9","294","2017-04-03 12:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1008.1","...","1010.3","2017-04-04 00:07","1005.7","2017-04-04 16:15","20.4","25.2","2017-04-04 12:33","14.7","2017-04-04 03:26","...","65","44","2017-04-04 12:02","1.4","103","6.6","316","2017-04-04 12:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1004.9","...","1007.4","2017-04-06 00:00","1002.3","2017-04-05 16:17","22.2","27.7","2017-04-05 13:02","17.5","2017-04-05 06:09","...","63","41","2017-04-05 12:10","1.5","66","8.4","328","2017-04-05 14:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1003.1","...","1004.8","2017-04-06 08:38","1001.5","2017-04-06 14:42","22.8","28.2","2017-04-06 15:11","18.1","2017-04-06 02:49","...","70","48","2017-04-06 14:59","1.2","106","6.6","324","2017-04-06 15:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1002.5","...","1005.2","2017-04-07 08:33","998.7","2017-04-07 05:48","24.2","29.1","2017-04-07 14:03","21.1","2017-04-07 04:30","...","79","56","2017-04-07 14:03","1.4","311","7.6","336","2017-04-07 07:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1002.1","...","1004.2","2017-04-08 09:39","999.9","2017-04-08 16:33","25.5","30.7","2017-04-08 13:38","21.4","2017-04-08 05:38","...","77","52","2017-04-08 09:14","1.6","115","8.8","306","2017-04-08 11:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","999.3","...","1001.5","2017-04-09 00:32","996.3","2017-04-09 15:37","25.7","32.1","2017-04-09 14:16","21.2","2017-04-09 06:00","...","80","54","2017-04-09 14:16","2.2","238","9.8","270","2017-04-09 16:26","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","997.6","...","1000.2","2017-04-10 08:43","994.6","2017-04-10 16:12","27.5","33.1","2017-04-10 12:06","22.4","2017-04-10 05:08","...","66","43","2017-04-10 12:06","2.7","200","11.2","262","2017-04-10 13:42","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","998.2","...","999.7","2017-04-11 08:40","996.8","2017-04-11 15:12","26.5","30.0","2017-04-11 12:59","23.6","2017-04-11 23:52","...","76","57","2017-04-11 08:25","2.5","217","8.7","237","2017-04-11 14:33","9.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","1002.2","...","1005.3","2017-04-12 23:24","999.4","2017-04-13 00:00","19.3","23.8","2017-04-12 00:05","16.1","2017-04-12 23:52","...","96","89","2017-04-12 16:41","0.9","18","6.6","217","2017-04-12 00:03","18.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1005.5","...","1006.7","2017-04-13 09:24","1003.5","2017-04-13 04:27","17.8","19.5","2017-04-13 18:08","15.5","2017-04-13 01:22","...","99","97","2017-04-13 16:09","0.8","33","8.9","284","2017-04-13 00:46","18.5","...","...","","...","","...","...","...","...","...","...","","..."
"14","1003.9","...","1006.0","2017-04-15 00:00","1001.9","2017-04-14 16:02","22.7","27.3","2017-04-14 15:41","18.7","2017-04-14 00:36","...","86","63","2017-04-14 12:41","0.9","17","5.0","334","2017-04-14 09:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","1003.2","...","1005.5","2017-04-15 09:35","1001.7","2017-04-15 16:16","24.7","29.5","2017-04-15 13:11","20.5","2017-04-15 00:27","...","83","57","2017-04-15 13:08","0.9","3","5.8","293","2017-04-15 12:04","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","1002.9","...","1004.6","2017-04-16 09:39","1001.3","2017-04-16 16:09","26.0","30.8","2017-04-16 13:42","22.5","2017-04-16 04:37","...","80","57","2017-04-16 11:23","1.2","29","7.2","336","2017-04-16 13:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","999.6","...","999.1","2017-04-17 20:45","996.7","2017-04-17 17:15","26.5","31.0","2017-04-17 16:09","23.4","2017-04-17 23:39","...","78","60","2017-04-17 15:49","1.5","115","6.3","288","2017-04-17 16:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","998.3","...","1000.1","2017-04-18 22:43","996.8","2017-04-18 15:27","26.6","31.4","2017-04-18 13:34","23.6","2017-04-18 05:12","...","85","60","2017-04-18 13:01","1.9","260","9.3","268","2017-04-18 13:36","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"19","999.5","...","1002.6","2017-04-19 22:30","996.6","2017-04-19 16:01","26.5","32.0","2017-04-19 12:21","21.5","2017-04-19 22:49","...","83","57","2017-04-19 12:22","1.9","265","9.2","277","2017-04-19 12:23","29.5","...","...","","...","","...","...","...","...","...","...","","..."
"20","999.9","...","1001.9","2017-04-21 00:00","997.9","2017-04-20 15:45","25.7","28.5","2017-04-20 14:43","22.1","2017-04-20 00:03","...","86","71","2017-04-20 14:43","1.3","1","7.0","322","2017-04-20 11:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","998.9","...","1000.8","2017-04-21 00:17","996.1","2017-04-21 15:22","25.9","30.1","2017-04-21 12:27","22.2","2017-04-21 23:53","...","81","58","2017-04-21 08:39","1.9","258","8.3","282","2017-04-21 10:31","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","1000.5","...","1002.7","2017-04-22 21:47","997.9","2017-04-22 02:59","19.6","22.7","2017-04-22 00:44","17.2","2017-04-22 22:38","...","91","71","2017-04-22 13:41","0.8","17","7.1","289","2017-04-22 03:26","16.5","...","...","","...","","...","...","...","...","...","...","","..."
"23","1002.7","...","1004.6","2017-04-23 23:00","1000.1","2017-04-23 04:42","20.4","24.6","2017-04-23 13:32","17.1","2017-04-23 00:04","...","92","73","2017-04-23 14:51","1.0","44","5.8","269","2017-04-23 15:31","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1003.5","...","1005.0","2017-04-24 09:42","1002.0","2017-04-24 17:03","22.8","27.2","2017-04-24 14:21","19.6","2017-04-24 05:55","...","83","62","2017-04-24 14:23","0.7","31","4.3","322","2017-04-24 18:21","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","1002.3","...","1004.2","2017-04-25 10:02","1000.4","2017-04-25 16:24","24.2","28.1","2017-04-25 12:40","21.2","2017-04-25 05:21","...","86","65","2017-04-25 12:41","0.8","13","4.7","342","2017-04-25 15:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1000.2","...","1002.2","2017-04-26 00:06","997.8","2017-04-26 15:53","26.1","31.7","2017-04-26 14:56","22.2","2017-04-26 04:21","...","82","55","2017-04-26 14:43","1.3","3","6.2","324","2017-04-26 11:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1000.7","...","1003.5","2017-04-27 23:03","998.4","2017-04-27 03:51","19.1","23.1","2017-04-28 00:00","15.7","2017-04-27 22:17","...","97","90","2017-04-28 00:00","0.9","32","5.0","326","2017-04-27 17:35","16.5","...","...","","...","","...","...","...","...","...","...","","..."
"28","1002.4","...","1003.9","2017-04-28 09:05","1000.4","2017-04-28 16:18","19.0","24.6","2017-04-28 15:48","15.2","2017-04-28 05:50","...","80","52","2017-04-28 16:18","0.9","9","6.7","335","2017-04-28 17:25","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1002.7","...","1004.0","2017-04-29 09:39","1000.9","2017-04-29 16:15","21.8","27.5","2017-04-29 14:50","17.4","2017-04-29 05:22","...","70","45","2017-04-29 15:04","1.3","38","6.7","299","2017-04-29 15:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1002.7","...","1003.9","2017-04-30 08:45","1001.1","2017-04-30 16:08","22.5","28.9","2017-04-30 13:55","17.2","2017-04-30 04:46","...","68","39","2017-04-30 13:55","1.6","108","6.9","318","2017-04-30 14:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
