"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","997.3","...","28.1","...","68","2.8","197","...","...","0.0","...","...","...","...","...","..."
"02","997.0","...","28.0","...","66","2.4","184","...","...","0.0","...","...","...","...","...","..."
"03","996.5","...","27.4","...","70","1.8","210","...","...","0.0","...","...","...","...","...","..."
"04","996.1","...","26.5","...","76","0.2","0","...","...","0.0","...","...","...","...","...","..."
"05","996.0","...","25.5","...","81","1.0","99","...","...","0.0","...","...","...","...","...","..."
"06","996.5","...","25.2","...","82","1.1","106","...","...","0.0","...","...","...","...","...","..."
"07","997.2","...","27.1","...","74","0.0","0","...","...","0.0","...","...","...","...","...","..."
"08","997.5","...","28.8","...","63","2.1","214","...","...","0.0","...","...","...","...","...","..."
"09","997.9","...","30.2","...","60","3.9","219","...","...","0.0","...","...","...","...","...","..."
"10","997.6","...","31.7","...","58","3.5","218","...","...","0.0","...","...","...","...","...","..."
"11","997.2","...","32.6","...","55","3.5","232","...","...","0.0","...","...","...","...","...","..."
"12","996.5","...","33.3","...","53","4.2","224","...","...","0.0","...","...","...","...","...","..."
"13","996.0","...","33.9","...","53","4.4","234","...","...","0.0","...","...","...","...","...","..."
"14","995.6","...","33.5","...","58","4.2","239","...","...","0.0","...","...","...","...","...","..."
"15","995.5","...","32.3","...","67","4.0","241","...","...","0.0","...","...","...","...","...","..."
"16","995.3","...","31.6","...","68","3.6","238","...","...","0.0","...","...","...","...","...","..."
"17","995.5","...","30.9","...","68","3.8","235","...","...","0.0","...","...","...","...","...","..."
"18","996.0","...","29.7","...","75","2.9","235","...","...","0.0","...","...","...","...","...","..."
"19","997.0","...","28.7","...","78","2.4","229","...","...","0.0","...","...","...","...","...","..."
"20","997.8","...","27.6","...","86","1.5","212","...","...","0.0","...","...","...","...","...","..."
"21","998.8","...","27.6","...","85","0.2","0","...","...","0.0","...","...","...","...","...","..."
"22","999.6","...","27.6","...","82","0.3","116","...","...","0.0","...","...","...","...","...","..."
"23","999.6","...","26.2","...","90","1.4","107","...","...","0.0","...","...","...","...","...","..."
"24","999.3","...","25.7","...","92","1.2","119","...","...","0.0","...","...","...","...","...","..."
