"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1013.7","...","1015.6","2016-04-01 09:38","1011.8","2016-04-01 02:51","21.9","23.4","2016-04-01 15:31","20.1","2016-04-01 06:32","...","86","75","2016-04-01 13:29","2.0","286","7.7","263","2016-04-01 12:31","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1014.4","...","1016.3","2016-04-02 08:47","1012.2","2016-04-02 15:08","23.5","27.3","2016-04-02 13:33","20.7","2016-04-02 05:22","...","83","65","2016-04-02 13:08","1.2","318","4.9","288","2016-04-02 01:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1013.2","...","1014.9","2016-04-03 08:36","1011.4","2016-04-03 16:42","24.9","28.1","2016-04-03 12:55","21.7","2016-04-03 06:22","...","85","67","2016-04-03 13:24","1.6","120","7.5","197","2016-04-03 12:03","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1012.0","...","1013.5","2016-04-04 09:40","1010.5","2016-04-04 02:16","24.8","27.9","2016-04-04 11:13","21.6","2016-04-04 06:30","...","85","70","2016-04-04 09:45","1.1","50","4.9","283","2016-04-04 21:24","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1013.2","...","1015.3","2016-04-05 10:03","1011.4","2016-04-05 17:01","24.0","27.6","2016-04-05 11:15","21.8","2016-04-05 05:12","...","85","70","2016-04-05 11:17","1.8","349","7.3","290","2016-04-05 12:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","1012.3","...","1014.9","2016-04-06 09:34","1009.7","2016-04-06 16:55","26.0","29.0","2016-04-06 16:38","22.0","2016-04-06 06:27","...","79","65","2016-04-06 10:49","2.1","141","11.6","169","2016-04-06 17:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","1012.4","...","1014.1","2016-04-07 21:45","1010.5","2016-04-07 16:07","26.8","30.7","2016-04-07 10:53","23.9","2016-04-07 04:20","...","82","61","2016-04-07 10:25","3.2","178","12.5","213","2016-04-07 12:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1012.5","...","1014.2","2016-04-08 10:11","1010.7","2016-04-08 16:08","25.3","28.3","2016-04-08 12:54","22.8","2016-04-08 23:58","...","86","64","2016-04-08 12:55","1.7","140","7.7","287","2016-04-08 15:35","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1011.4","...","1013.5","2016-04-09 00:23","1008.5","2016-04-09 15:33","24.6","28.6","2016-04-09 11:27","21.9","2016-04-09 05:22","...","83","60","2016-04-09 11:27","1.7","25","5.5","340","2016-04-09 01:50","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1009.3","...","1011.3","2016-04-10 21:02","1006.9","2016-04-10 19:22","24.9","29.6","2016-04-10 11:21","21.4","2016-04-10 17:42","...","83","60","2016-04-10 11:28","2.1","148","13.0","290","2016-04-10 16:17","21.5","...","...","","...","","...","...","...","...","...","...","","..."
"11","1009.7","...","1011.3","2016-04-11 09:36","1006.2","2016-04-11 05:56","22.7","25.5","2016-04-11 11:24","21.0","2016-04-11 19:05","...","90","75","2016-04-11 13:10","2.4","340","10.3","76","2016-04-11 05:56","27.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","1008.7","...","1011.1","2016-04-12 07:50","1005.6","2016-04-12 16:58","23.1","25.4","2016-04-12 11:36","21.2","2016-04-12 03:50","...","88","78","2016-04-12 11:05","2.1","342","7.2","272","2016-04-12 13:12","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"13","1006.2","...","1008.6","2016-04-13 23:48","1003.1","2016-04-13 14:41","24.7","27.9","2016-04-13 09:41","22.2","2016-04-13 00:42","...","85","64","2016-04-13 09:32","3.8","129","12.3","177","2016-04-13 13:55","17.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1009.6","...","1012.1","2016-04-14 21:58","1007.1","2016-04-14 03:54","24.2","28.3","2016-04-14 11:49","21.1","2016-04-14 17:15","...","89","72","2016-04-14 11:52","2.6","142","12.3","333","2016-04-14 16:53","76.5","...","...","","...","","...","...","...","...","...","...","","..."
"15","1011.7","...","1013.4","2016-04-15 21:41","1010.1","2016-04-15 15:35","22.7","26.6","2016-04-15 11:25","21.3","2016-04-15 04:06","...","95","80","2016-04-15 11:26","1.9","4","9.8","306","2016-04-15 17:08","46.5","...","...","","...","","...","...","...","...","...","...","","..."
"16","1010.6","...","1012.7","2016-04-16 21:58","1008.6","2016-04-16 17:41","26.5","30.8","2016-04-16 15:40","21.2","2016-04-16 06:27","...","77","51","2016-04-16 15:40","2.7","15","11.7","185","2016-04-16 12:53","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","1010.9","...","1012.6","2016-04-17 10:23","1008.8","2016-04-17 17:09","26.8","29.0","2016-04-17 13:25","23.9","2016-04-17 05:49","...","84","71","2016-04-17 12:51","1.5","223","8.1","222","2016-04-17 14:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","1013.4","...","1016.2","2016-04-18 22:28","1010.6","2016-04-18 02:54","23.6","29.7","2016-04-18 13:13","19.9","2016-04-18 22:48","...","83","55","2016-04-18 12:52","3.8","322","12.2","324","2016-04-18 23:24","51.5","...","...","","...","","...","...","...","...","...","...","","..."
"19","1016.2","...","1018.4","2016-04-19 09:16","1014.4","2016-04-19 16:05","22.2","26.2","2016-04-19 16:10","18.4","2016-04-19 04:20","...","81","69","2016-04-19 12:21","3.8","293","9.4","331","2016-04-19 00:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","1013.6","...","1016.8","2016-04-20 00:02","1011.1","2016-04-20 17:17","24.2","27.1","2016-04-20 12:48","21.4","2016-04-20 05:28","...","87","74","2016-04-20 16:39","1.8","284","8.1","308","2016-04-20 00:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1011.0","...","1012.6","2016-04-22 00:00","1009.5","2016-04-21 16:40","27.0","31.1","2016-04-21 12:54","23.3","2016-04-21 04:00","...","84","67","2016-04-21 10:38","2.9","72","10.6","181","2016-04-21 12:14","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1009.8","...","1010.9","2016-04-22 08:05","1008.5","2016-04-22 15:39","26.9","29.4","2016-04-22 10:29","25.4","2016-04-22 05:48","...","81","65","2016-04-22 11:00","1.8","127","8.1","223","2016-04-22 14:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1008.8","...","1010.2","2016-04-23 07:21","1007.0","2016-04-23 15:44","27.7","30.9","2016-04-23 10:54","25.1","2016-04-23 06:50","...","80","63","2016-04-23 11:19","2.6","119","9.5","194","2016-04-23 14:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1009.0","...","1010.7","2016-04-24 21:43","1006.8","2016-04-24 15:45","25.6","28.1","2016-04-24 16:11","22.2","2016-04-24 04:32","...","85","70","2016-04-24 12:34","2.2","41","10.6","275","2016-04-24 03:43","12.5","...","...","","...","","...","...","...","...","...","...","","..."
"25","1010.4","...","1011.9","2016-04-25 22:25","1008.6","2016-04-25 04:01","26.0","28.7","2016-04-25 11:33","24.4","2016-04-25 23:49","...","86","73","2016-04-25 11:34","1.2","29","5.2","275","2016-04-25 13:16","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1009.4","...","1011.5","2016-04-26 00:21","1006.6","2016-04-26 16:44","27.1","29.9","2016-04-26 12:37","24.0","2016-04-26 02:12","...","84","71","2016-04-26 16:12","2.2","172","8.0","198","2016-04-26 15:51","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"27","1007.4","...","1009.0","2016-04-27 08:17","1005.9","2016-04-27 16:45","27.3","29.7","2016-04-27 11:15","26.0","2016-04-27 23:52","...","81","66","2016-04-27 12:39","2.4","197","8.5","190","2016-04-27 13:41","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1008.7","...","1010.7","2016-04-28 21:35","1007.1","2016-04-28 02:27","26.6","29.1","2016-04-28 13:19","23.8","2016-04-28 23:59","...","75","62","2016-04-28 17:07","2.7","310","8.2","322","2016-04-28 16:48","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1011.6","...","1013.2","2016-04-29 21:19","1010.5","2016-04-29 15:43","24.4","27.3","2016-04-29 14:27","22.4","2016-04-29 23:30","...","59","51","2016-04-29 15:19","4.1","12","10.8","345","2016-04-29 14:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","1011.6","...","1013.0","2016-04-30 22:13","1009.9","2016-04-30 16:24","23.8","27.6","2016-04-30 13:23","21.1","2016-04-30 04:29","...","72","53","2016-04-30 16:14","2.5","12","9.1","38","2016-04-30 23:40","0.0","...","...","","...","","...","...","...","...","...","...","","..."
