"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","764.1","3153.4","12.7","12.7","100","2.5","160","5.3","150","0.0","0.0","...","0.00","...","...","..."
"02","763.5","3145.1","12.7","12.6","99","3.4","160","5.6","130","0.0","0.0","...","0.00","...","...","..."
"03","763.4","3145.0","12.2","12.2","100","1.8","170","5.9","180","0.0","0.0","...","0.00","...","...","..."
"04","763.6","3145.8","12.4","12.3","99","2.8","160","5.2","170","0.0","0.0","...","0.00","...","...","..."
"05","763.9","3147.7","12.0","12.0","100","1.4","310","5.9","140","0.0","0.0","...","0.00","12.0","...","1.0"
"06","764.1","3150.5","12.7","12.7","100","0.7","80","5.6","150","0.0","0.0","0.0","0.06","...","...","..."
"07","764.6","3157.3","13.8","13.8","100","0.6","30","2.9","360","0.0","0.0","1.0","0.91","...","...","..."
"08","764.7","3162.2","17.7","16.4","92","0.6","360","6.9","140","0.0","0.0","1.0","1.32","15.0","...","3.0"
"09","764.8","3166.8","18.0","15.5","85","0.9","290","4.3","140","0.0","0.0","1.0","2.13","2.5","...","10.0"
"10","765.0","3169.8","18.5","15.0","80","0.7","V","4.5","270","0.0","0.0","0.3","1.94","...","...","..."
"11","764.9","3165.8","19.2","15.1","77","0.9","340","4.5","290","0.0","0.0","0.5","2.08","0.1","...","/"
"12","764.7","3161.0","17.2","15.8","91","0.5","340","5.7","250","0.5","0.3","0.0","0.88","...","...","..."
"13","764.1","3153.9","16.8","15.5","92","1.4","270","5.5","240","3.5","0.5","0.0","1.13","...","...","..."
"14","764.0","3149.7","14.4","14.4","100","1.1","30","3.8","200","19.5","1.0","0.0","0.16","0.5","...","/"
"15","763.4","3142.8","14.7","14.7","100","0.9","30","5.5","270","2.0","1.0","0.0","0.02","...","...","..."
"16","763.5","3144.3","14.8","14.8","100","0.5","40","4.7","300","1.0","1.0","0.0","0.05","...","...","..."
"17","763.4","3142.2","14.4","14.4","100","0.9","20","4.4","270","0.5","0.4","0.0","0.00","0.8","...","/"
"18","763.9","3148.6","14.4","14.4","100","0.8","30","3.5","30","0.0","0.0","0.0","0.00","...","...","..."
"19","764.3","3153.9","14.0","14.0","100","0.3","30","2.7","20","0.0","0.0","0.0","0.00","...","...","..."
"20","764.9","3165.4","13.9","13.9","100","0.5","20","2.9","360","0.0","0.0","...","0.00","0.8","...","/"
"21","765.1","3170.6","13.8","13.8","100","0.6","50","4.3","270","0.0","0.0","...","0.00","5.0","...","9.0"
"22","765.3","3173.5","13.2","13.2","100","0.9","20","4.2","140","0.0","0.0","...","0.00","...","...","..."
"23","765.3","3170.4","12.8","12.6","99","2.7","140","5.7","140","0.0","0.0","...","0.00","...","...","..."
"24","764.9","3163.0","12.5","12.5","100","0.8","110","5.6","130","0.0","0.0","...","0.00","...","...","..."
