"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","766.7","3184.0","13.1","9.0","76","1.0","190","2.9","230","0.0","0.0","...","0.00","...","","..."
"02","766.6","3183.1","13.0","9.2","78","0.8","260","3.9","170","0.0","0.0","...","0.00","...","","..."
"03","766.3","3179.3","13.3","9.2","76","1.6","220","2.5","180","0.0","0.0","...","0.00","...","","..."
"04","766.4","3178.9","13.9","10.0","77","1.1","120","2.8","220","0.0","0.0","...","0.00","...","","..."
"05","766.3","3177.6","14.0","10.0","77","1.3","210","2.6","220","0.0","0.0","...","0.00","40.0","","1.0"
"06","766.5","3178.7","14.2","9.7","74","1.2","250","2.9","160","0.0","0.0","0.1","0.01","...","","..."
"07","766.9","3183.4","15.3","10.0","71","1.5","220","3.8","150","0.0","0.0","1.0","0.74","...","","..."
"08","767.1","3187.3","17.0","11.9","72","1.6","270","3.3","290","0.0","0.0","1.0","1.48","40.0","","1.0"
"09","767.2","3189.2","17.6","13.7","78","1.3","300","2.7","340","0.0","0.0","1.0","2.16","40.0","","2.0"
"10","767.2","3190.3","17.3","13.5","78","0.8","260","2.9","340","0.0","0.0","0.5","1.71","...","","..."
"11","767.4","3193.3","17.3","14.1","81","1.1","330","3.4","330","0.0","0.0","0.2","1.29","1.5","","9.0"
"12","767.2","3190.6","17.7","14.1","79","1.6","330","3.6","340","0.0","0.0","0.1","1.31","...","","..."
"13","766.8","3184.0","16.7","13.6","82","0.7","280","3.5","280","2.0","0.7","0.0","0.51","...","","..."
"14","766.5","3181.4","17.3","14.7","85","0.6","V","2.8","230","0.0","0.0","0.1","0.96","1.2","","10.0"
"15","766.2","3178.1","17.0","14.2","84","1.2","330","3.1","330","0.0","0.0","0.1","1.15","...","","..."
"16","766.1","3176.6","16.1","13.5","85","0.6","60","2.4","340","10.0","0.3","0.1","0.70","...","","..."
"17","765.9","3174.2","15.9","14.4","91","0.5","150","1.9","330","4.5","0.8","0.0","0.27","1.2","","10.0"
"18","766.0","3174.7","15.2","13.8","91","0.9","120","2.4","190","0.0","0.0","0.0","0.00","...","","..."
"19","766.5","3181.0","14.7","13.1","90","0.5","10","3.7","80","0.0","0.0","0.4","0.00","...","","..."
"20","766.9","3187.3","14.4","13.0","91","0.2","0","1.9","340","0.0","0.0","...","0.00","1.5","","10.0"
"21","767.0","3189.8","14.9","13.3","90","1.4","140","3.6","70","0.0","0.0","...","0.00","2.0","","8.0"
"22","767.1","3189.7","14.3","12.9","91","1.4","150","2.1","150","0.0","0.0","...","0.00","...","","..."
"23","766.9","3187.3","14.1","12.7","91","1.5","250","2.8","250","0.0","0.0","...","0.00","...","","..."
"24","766.6","3184.5","14.1","12.3","89","1.4","240","3.4","250","0.0","0.0","...","0.00","...","","..."
