"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","766.2","3175.3","11.4","9.9","90","1.1","180","2.1","280","0.0","0.0","...","0.00","...","","..."
"02","765.7","3169.5","12.0","10.1","88","2.3","180","4.1","190","0.0","0.0","...","0.00","...","","..."
"03","765.9","3169.0","11.5","9.9","90","2.0","200","2.9","240","0.0","0.0","...","0.00","...","","..."
"04","765.9","3169.8","11.7","9.9","89","2.1","180","4.1","180","0.0","0.0","...","0.00","...","","..."
"05","766.2","3172.8","11.8","9.8","88","2.0","170","3.7","180","0.0","0.0","...","0.00","35.0","","4.0"
"06","766.3","3174.4","12.6","10.0","84","1.6","180","3.8","190","0.0","0.0","0.0","0.00","...","","..."
"07","766.6","3177.5","13.1","10.9","86","0.5","170","3.1","210","0.0","0.0","0.9","0.47","...","","..."
"08","766.8","3184.3","16.5","12.4","77","1.5","290","3.5","220","0.0","0.0","1.0","1.44","40.0","","4.0"
"09","767.3","3187.6","16.5","12.1","75","1.4","220","4.3","280","0.0","0.0","1.0","2.10","40.0","","5.0"
"10","767.5","3191.3","18.3","12.0","67","1.4","V","3.3","240","0.0","0.0","1.0","2.55","...","","..."
"11","767.7","3193.4","17.6","13.6","77","0.8","310","4.8","280","0.0","0.0","0.9","2.77","20.0","","6.0"
"12","767.1","3187.4","18.4","14.9","80","1.4","360","4.1","190","0.0","0.0","0.6","2.09","...","","..."
"13","767.2","3187.2","17.5","14.4","82","1.1","340","4.6","270","0.0","0.0","0.5","2.37","...","","..."
"14","766.9","3185.1","17.8","14.3","80","1.5","320","4.2","340","T","0.1","0.1","1.16","1.8","","10.0"
"15","766.6","3180.2","17.1","13.4","79","0.3","V","4.0","280","T","0.2","0.0","0.95","...","","..."
"16","766.4","3176.0","15.4","12.7","84","0.9","160","4.0","160","3.1","1.0","0.0","0.23","...","","..."
"17","766.6","3178.0","15.1","12.4","84","1.0","130","2.9","170","0.2","1.0","0.0","0.00","7.0","","9.0"
"18","766.6","3177.7","14.1","11.5","84","1.2","140","4.4","80","0.1","1.0","0.0","0.00","...","","..."
"19","766.8","3179.3","13.2","10.2","82","1.3","140","2.5","270","0.1","0.8","0.0","0.00","...","","..."
"20","766.8","3183.3","12.8","9.5","80","1.9","230","2.5","220","0.0","0.0","...","0.00","30.0","","6.0"
"21","767.0","3185.5","12.8","9.3","79","1.4","190","2.9","190","0.0","0.0","...","0.00","40.0","","5.0"
"22","767.2","3191.6","13.9","9.1","73","2.3","180","3.8","170","0.0","0.0","...","0.00","...","","..."
"23","767.2","3191.5","14.5","9.0","70","1.6","230","4.8","140","0.0","0.0","...","0.00","...","","..."
"24","767.0","3189.3","13.7","9.3","75","1.9","200","3.1","210","0.0","0.0","...","0.00","...","","..."
