"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","763.7","3154.3","14.6","11.2","80","1.9","30","8.9","160","0.0","0.0","...","0.00","...","...","..."
"02","763.3","3149.7","14.2","11.3","83","2.3","100","8.2","140","0.0","0.0","...","0.00","...","...","..."
"03","763.3","3151.2","14.6","11.7","83","1.8","30","7.8","150","0.0","0.0","...","0.00","...","...","..."
"04","762.8","3143.5","14.6","12.2","86","2.1","40","7.5","110","0.0","0.0","...","0.00","...","...","..."
"05","762.8","3142.3","14.3","12.2","87","1.8","30","7.4","130","0.0","0.0","...","0.00","25.0","...","8.0"
"06","762.9","3143.4","15.0","11.6","80","1.7","360","8.8","190","0.0","0.0","0.0","0.00","...","...","..."
"07","763.3","3148.8","16.3","12.4","78","1.8","30","5.8","80","0.0","0.0","1.0","0.78","...","...","..."
"08","763.6","3153.8","18.1","13.2","73","3.5","130","8.9","150","0.0","0.0","1.0","1.50","30.0","...","2.0"
"09","764.0","3159.7","19.1","14.0","72","1.2","30","9.4","150","0.0","0.0","1.0","2.23","20.0","...","6.0"
"10","764.3","3162.0","17.9","15.0","83","0.9","10","4.4","280","0.0","0.0","0.4","1.80","...","...","..."
"11","764.5","3163.2","17.8","14.7","82","2.1","50","6.9","100","0.0","0.0","0.1","1.28","4.0","...","10.0"
"12","764.2","3159.1","17.6","14.7","83","1.3","40","5.8","280","0.0","0.0","0.0","0.96","...","...","..."
"13","763.8","3157.3","20.2","15.6","75","1.6","10","6.5","150","0.0","0.0","0.4","2.06","...","...","..."
"14","763.6","3151.4","17.7","15.6","88","1.8","60","6.1","200","0.5","0.5","0.2","1.87","1.5","...","9.0"
"15","763.2","3147.6","17.8","14.3","80","1.3","30","4.5","110","0.0","0.0","0.2","1.36","...","...","..."
"16","763.1","3144.3","16.1","14.4","90","1.5","10","5.2","340","0.5","0.5","0.0","0.56","...","...","..."
"17","763.2","3146.7","17.4","15.1","86","1.0","50","5.3","270","0.5","0.3","0.4","1.02","6.0","...","8.0"
"18","763.6","3150.5","16.2","13.8","86","1.0","100","6.1","140","0.0","0.0","0.5","0.76","...","...","..."
"19","763.9","3154.5","15.4","13.3","87","0.8","50","5.6","160","0.0","0.0","0.1","0.03","...","...","..."
"20","764.0","3157.6","15.2","13.3","88","0.8","10","3.7","60","0.0","0.0","...","0.00","10.0","...","10.0"
"21","764.1","3159.9","15.1","13.0","87","2.5","150","5.1","150","0.0","0.0","...","0.00","10.0","...","7.0"
"22","764.5","3162.8","15.1","12.5","84","1.3","20","7.7","150","0.0","0.0","...","0.00","...","...","..."
"23","764.5","3162.5","15.0","12.5","85","1.1","40","5.1","330","0.0","0.0","...","0.00","...","...","..."
"24","764.1","3157.6","14.8","12.7","87","1.2","20","5.4","150","0.0","0.0","...","0.00","...","...","..."
