"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","765.1","3169.2","14.2","9.0","71","3.7","170","6.6","170","0.0","0.0","...","0.00","...","","..."
"02","765.0","3164.0","12.8","9.0","78","2.2","140","6.3","150","0.0","0.0","...","0.00","...","","..."
"03","764.9","3165.3","14.4","8.5","68","3.7","180","6.7","190","0.0","0.0","...","0.00","...","","..."
"04","764.8","3163.8","15.0","8.1","63","2.9","160","7.0","160","0.0","0.0","...","0.00","...","","..."
"05","764.7","3161.8","14.6","8.1","65","2.0","140","7.5","170","0.0","0.0","...","0.00","25.0","","1.0"
"06","765.4","3167.4","14.0","8.7","70","0.7","50","3.2","100","0.0","0.0","0.0","0.00","...","","..."
"07","765.4","3169.1","15.8","9.4","66","0.8","30","5.5","150","0.0","0.0","1.0","0.78","...","","..."
"08","766.0","3178.1","17.8","12.0","69","0.5","V","3.2","230","0.0","0.0","1.0","1.53","25.0","","8.0"
"09","766.5","3182.8","17.5","12.1","71","1.9","240","4.8","120","0.0","0.0","1.0","2.25","25.0","","4.0"
"10","766.7","3183.0","16.6","12.8","78","1.1","280","4.3","290","0.0","0.0","0.9","2.73","...","","..."
"11","766.5","3182.2","18.2","14.2","77","0.9","360","4.6","230","0.0","0.0","0.6","2.48","5.0","","9.0"
"12","766.2","3179.9","18.7","15.0","79","1.4","350","4.4","20","0.0","0.0","0.5","2.29","...","","..."
"13","766.2","3181.2","18.5","14.9","80","1.6","310","5.0","300","0.0","0.0","0.3","1.86","...","","..."
"14","766.1","3177.5","17.9","14.5","80","0.8","260","4.8","250","0.0","0.0","0.4","1.87","1.2","","10.0"
"15","765.9","3178.2","18.5","14.9","80","1.1","290","3.9","20","0.0","0.0","0.7","2.09","...","","..."
"16","765.6","3175.0","18.0","14.4","79","0.7","220","4.1","160","0.0","0.0","0.3","1.17","...","","..."
"17","765.7","3173.6","16.5","13.9","85","0.3","310","2.9","280","0.0","0.0","0.1","0.67","1.5","","9.0"
"18","765.7","3173.2","16.8","14.0","84","0.2","0","2.9","180","0.0","0.0","0.5","0.57","...","","..."
"19","766.4","3181.5","15.4","12.9","85","0.2","0","3.2","200","0.0","0.0","0.0","0.01","...","","..."
"20","766.6","3185.3","14.6","12.4","87","1.5","210","3.4","150","0.0","0.0","...","0.00","8.0","","8.0"
"21","766.7","3185.6","14.3","12.1","87","1.8","180","2.9","110","0.0","0.0","...","0.00","20.0","","5.0"
"22","767.1","3187.8","13.6","11.2","85","1.6","220","2.9","240","0.0","0.0","...","0.00","...","","..."
"23","766.9","3187.1","13.1","10.5","84","1.8","240","2.6","240","0.0","0.0","...","0.00","...","","..."
"24","766.7","3185.7","13.2","10.7","85","0.9","220","2.4","200","0.0","0.0","...","0.00","...","","..."
