"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","762.7","3141.7","15.7","10.7","72","2.4","170","6.8","130","0.0","0.0","...","0.00","...","...","..."
"02","762.3","3139.0","15.6","10.7","73","0.8","100","5.3","120","0.0","0.0","...","0.00","...","...","..."
"03","762.1","3135.1","15.2","11.5","79","3.5","140","6.8","160","0.0","0.0","...","0.00","...","...","..."
"04","762.3","3135.3","14.7","11.4","81","1.1","50","5.4","190","0.0","0.0","...","0.00","...","...","..."
"05","762.2","3133.1","13.5","11.2","86","1.9","170","6.8","170","0.0","0.0","...","0.00","25.0","...","7.0"
"06","762.5","3137.8","14.9","11.1","78","1.9","170","6.2","180","0.0","0.0","0.1","0.03","...","...","..."
"07","763.1","3144.6","15.5","12.0","80","1.3","350","5.0","170","0.0","0.0","1.0","0.76","...","...","..."
"08","763.0","3145.9","18.1","13.3","74","1.0","170","4.3","20","0.0","0.0","1.0","1.51","30.0","...","3.0"
"09","763.3","3151.5","18.8","14.2","75","1.7","310","5.6","260","0.0","0.0","1.0","2.21","3.0","...","5.0"
"10","763.7","3155.7","18.9","16.2","84","1.6","160","4.5","240","0.0","0.0","0.9","2.51","...","...","..."
"11","763.5","3153.6","18.2","15.9","86","2.4","120","5.5","80","0.0","0.0","0.3","1.88","3.0","...","6.0"
"12","763.2","3152.3","19.6","15.7","78","2.5","150","6.0","140","0.0","0.0","0.6","2.72","...","...","..."
"13","763.0","3147.9","18.7","16.3","86","0.8","30","7.2","120","0.0","0.0","0.6","2.70","...","...","..."
"14","762.8","3145.9","19.0","16.4","85","1.0","320","5.0","210","0.0","0.0","0.1","1.71","1.5","...","9.0"
"15","762.3","3140.8","19.8","16.6","82","1.0","V","6.1","240","0.0","0.0","0.4","1.95","...","...","..."
"16","762.5","3140.3","18.1","15.5","85","1.0","V","5.0","280","0.0","0.0","0.6","1.66","...","...","..."
"17","762.5","3137.9","17.4","15.1","86","0.7","40","5.9","130","0.0","0.0","0.2","0.93","3.0","...","9.0"
"18","762.4","3137.7","16.7","14.9","89","1.3","150","6.4","180","0.0","0.0","0.0","0.16","...","...","..."
"19","763.2","3146.7","16.2","14.6","90","0.5","60","5.6","150","0.0","0.0","0.0","0.00","...","...","..."
"20","763.2","3149.4","15.7","13.7","88","1.2","80","5.3","130","0.0","0.0","...","0.00","12.0","...","4.0"
"21","763.8","3157.1","15.8","12.2","79","1.5","20","7.2","140","0.0","0.0","...","0.00","15.0","...","4.0"
"22","764.0","3159.9","16.2","12.0","76","1.6","40","5.5","350","0.0","0.0","...","0.00","...","...","..."
"23","763.9","3157.0","15.5","11.9","79","1.8","60","6.3","320","0.0","0.0","...","0.00","...","...","..."
"24","764.1","3160.5","15.1","11.5","79","1.6","70","7.3","140","0.0","0.0","...","0.00","...","...","..."
