"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","764.0","3153.7","12.0","11.5","97","1.4","240","2.1","250","0.0","0.0","...","0.00","...","...","..."
"02","763.6","3147.5","12.2","11.6","96","1.8","230","2.7","270","0.0","0.0","...","0.00","...","...","..."
"03","763.7","3147.7","11.1","10.4","95","1.6","270","2.7","230","0.0","0.0","...","0.00","...","...","..."
"04","763.7","3146.6","10.9","10.4","97","0.3","240","2.0","270","0.0","0.0","...","0.00","...","...","..."
"05","764.0","3149.8","11.0","10.3","95","1.5","270","2.1","280","0.0","0.0","...","0.00","30.0","...","1.0"
"06","764.0","3148.7","11.0","10.4","96","0.2","0","2.0","260","0.0","0.0","0.0","0.02","...","...","..."
"07","764.2","3151.8","12.5","10.9","90","0.3","300","2.1","250","0.0","0.0","1.0","0.88","...","...","..."
"08","764.1","3154.0","16.2","13.8","86","0.5","270","2.4","310","0.0","0.0","0.9","1.68","30.0","...","1.0"
"09","764.4","3158.3","17.3","13.4","78","0.8","V","3.5","290","0.0","0.0","0.9","2.53","26.0","...","1.0"
"10","764.4","3157.6","16.0","14.2","89","1.1","350","3.7","360","0.0","0.0","0.9","2.53","...","...","..."
"11","764.4","3155.0","14.9","14.7","99","1.0","20","4.4","280","0.0","0.0","0.2","1.28","1.5","...","8.0"
"12","764.3","3154.0","15.7","14.3","91","1.8","290","4.3","300","0.0","0.0","0.0","1.02","...","...","..."
"13","764.1","3152.2","16.2","15.0","93","1.4","320","5.1","350","0.0","0.0","0.1","1.63","...","...","..."
"14","763.8","3151.2","17.8","15.6","87","1.3","270","4.0","270","0.0","0.0","0.3","1.78","3.0","...","8.0"
"15","763.7","3147.5","16.9","15.7","93","1.0","330","3.7","320","0.0","0.0","0.3","1.82","...","...","..."
"16","763.6","3145.0","16.0","14.8","93","0.7","330","3.5","340","0.0","0.0","0.2","1.09","...","...","..."
"17","763.6","3144.5","15.5","14.5","94","0.8","260","3.1","280","0.0","0.0","0.0","0.38","3.0","...","8.0"
"18","764.2","3150.7","15.2","14.0","93","0.5","290","3.0","280","0.0","0.0","0.1","0.54","...","...","..."
"19","764.0","3147.8","13.1","11.8","92","1.7","220","3.4","310","0.0","0.0","0.1","0.04","...","...","..."
"20","764.1","3152.7","12.4","10.5","88","1.5","210","2.8","250","0.0","0.0","...","0.00","20.0","...","3.0"
"21","763.9","3152.3","12.7","10.5","86","1.8","220","2.5","210","0.0","0.0","...","0.00","20.0","...","3.0"
"22","764.1","3154.2","13.8","9.9","77","1.7","240","3.0","260","0.0","0.0","...","0.00","...","...","..."
"23","764.3","3153.5","12.6","10.2","85","2.0","180","3.0","250","0.0","0.0","...","0.00","...","...","..."
"24","763.9","3149.4","12.0","8.5","79","2.3","170","2.9","180","0.0","0.0","...","0.00","...","...","..."
