"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","998.0","...","26.9","...","84","1.2","103","...","...","0.0","...","...","...","...","...","..."
"02","997.6","...","26.7","...","84","0.7","90","...","...","0.0","...","...","...","...","...","..."
"03","997.5","...","26.8","...","86","1.0","98","...","...","0.0","...","...","...","...","...","..."
"04","997.3","...","26.7","...","85","0.8","94","...","...","0.0","...","...","...","...","...","..."
"05","997.1","...","26.2","...","87","1.0","93","...","...","0.0","...","...","...","...","...","..."
"06","996.9","...","26.5","...","85","1.1","112","...","...","0.0","...","...","...","...","...","..."
"07","997.1","...","28.9","...","72","0.0","0","...","...","0.0","...","...","...","...","...","..."
"08","997.3","...","30.6","...","66","0.4","340","...","...","0.0","...","...","...","...","...","..."
"09","997.2","...","31.4","...","61","0.7","48","...","...","0.0","...","...","...","...","...","..."
"10","997.0","...","32.3","...","59","0.7","97","...","...","0.0","...","...","...","...","...","..."
"11","996.7","...","33.2","...","54","1.9","305","...","...","0.0","...","...","...","...","...","..."
"12","996.3","...","33.6","...","54","1.1","301","...","...","0.0","...","...","...","...","...","..."
"13","996.1","...","32.9","...","62","3.2","280","...","...","0.0","...","...","...","...","...","..."
"14","996.0","...","32.1","...","66","2.9","327","...","...","0.0","...","...","...","...","...","..."
"15","996.1","...","24.5","...","96","4.6","67","...","...","41.5","...","...","...","...","...","..."
"16","996.1","...","24.5","...","93","1.8","53","...","...","3.0","...","...","...","...","...","..."
"17","996.3","...","25.9","...","87","1.4","154","...","...","0.0","...","...","...","...","...","..."
"18","996.7","...","26.0","...","91","1.2","183","...","...","0.0","...","...","...","...","...","..."
"19","997.7","...","26.3","...","96","0.4","329","...","...","0.0","...","...","...","...","...","..."
"20","998.2","...","25.9","...","93","1.5","99","...","...","1.5","...","...","...","...","...","..."
"21","998.5","...","26.0","...","92","1.6","101","...","...","0.0","...","...","...","...","...","..."
"22","998.7","...","25.8","...","93","0.3","292","...","...","0.0","...","...","...","...","...","..."
"23","998.3","...","25.7","...","96","0.0","0","...","...","0.0","...","...","...","...","...","..."
"24","997.8","...","25.4","...","93","1.2","111","...","...","0.0","...","...","...","...","...","..."
