"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","997.5","...","24.8","...","92","0.8","327","...","...","0.0","...","...","...","...","...","..."
"02","997.2","...","24.4","...","92","1.0","107","...","...","0.0","...","...","...","...","...","..."
"03","997.6","...","24.4","...","94","0.7","139","...","...","0.0","...","...","...","...","...","..."
"04","997.4","...","24.4","...","93","1.9","101","...","...","2.0","...","...","...","...","...","..."
"05","996.5","...","24.5","...","91","1.2","134","...","...","0.0","...","...","...","...","...","..."
"06","997.0","...","25.0","...","88","0.9","225","...","...","0.0","...","...","...","...","...","..."
"07","997.6","...","26.7","...","83","1.2","183","...","...","0.0","...","...","...","...","...","..."
"08","998.1","...","28.3","...","79","1.8","204","...","...","0.0","...","...","...","...","...","..."
"09","997.7","...","29.7","...","73","3.5","200","...","...","0.0","...","...","...","...","...","..."
"10","998.1","...","31.1","...","66","3.5","198","...","...","0.0","...","...","...","...","...","..."
"11","997.9","...","30.7","...","64","2.8","214","...","...","0.0","...","...","...","...","...","..."
"12","997.3","...","31.4","...","61","3.3","234","...","...","0.0","...","...","...","...","...","..."
"13","997.1","...","31.2","...","66","3.2","232","...","...","0.0","...","...","...","...","...","..."
"14","996.7","...","27.2","...","83","3.1","224","...","...","1.0","...","...","...","...","...","..."
"15","996.5","...","27.3","...","89","3.1","215","...","...","0.5","...","...","...","...","...","..."
"16","996.5","...","27.5","...","86","2.4","216","...","...","0.0","...","...","...","...","...","..."
"17","996.7","...","28.0","...","79","2.2","200","...","...","0.0","...","...","...","...","...","..."
"18","996.7","...","28.1","...","78","1.5","227","...","...","0.0","...","...","...","...","...","..."
"19","996.8","...","27.3","...","80","1.2","191","...","...","0.0","...","...","...","...","...","..."
"20","997.1","...","26.9","...","85","0.7","23","...","...","0.0","...","...","...","...","...","..."
"21","997.6","...","27.1","...","83","0.8","86","...","...","0.0","...","...","...","...","...","..."
"22","997.7","...","26.8","...","84","0.7","84","...","...","0.0","...","...","...","...","...","..."
"23","997.9","...","25.7","...","89","0.5","116","...","...","0.0","...","...","...","...","...","..."
"24","998.0","...","25.2","...","90","0.7","93","...","...","0.0","...","...","...","...","...","..."
