"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","998.9","...","25.0","...","78","1.9","99","...","...","0.0","...","...","...","...","...","..."
"02","998.6","...","24.2","...","83","1.3","100","...","...","0.0","...","...","...","...","...","..."
"03","999.1","...","23.9","...","85","1.5","109","...","...","0.0","...","...","...","...","...","..."
"04","999.3","...","23.9","...","85","1.5","107","...","...","0.0","...","...","...","...","...","..."
"05","999.7","...","24.3","...","84","0.8","55","...","...","0.0","...","...","...","...","...","..."
"06","1000.2","...","25.0","...","85","1.0","94","...","...","0.0","...","...","...","...","...","..."
"07","1000.4","...","27.8","...","78","0.8","108","...","...","0.0","...","...","...","...","...","..."
"08","1000.6","...","30.0","...","64","0.7","177","...","...","0.0","...","...","...","...","...","..."
"09","1000.5","...","31.0","...","65","1.4","222","...","...","0.0","...","...","...","...","...","..."
"10","1000.6","...","31.6","...","61","2.2","250","...","...","0.0","...","...","...","...","...","..."
"11","1000.5","...","32.9","...","56","1.7","197","...","...","0.0","...","...","...","...","...","..."
"12","999.9","...","33.2","...","57","1.9","240","...","...","0.0","...","...","...","...","...","..."
"13","999.7","...","33.5","...","56","2.1","226","...","...","0.0","...","...","...","...","...","..."
"14","999.1","...","32.4","...","65","2.2","281","...","...","0.0","...","...","...","...","...","..."
"15","998.5","...","29.7","...","72","4.3","256","...","...","0.0","...","...","...","...","...","..."
"16","999.1","...","27.7","...","82","2.2","115","...","...","0.0","...","...","...","...","...","..."
"17","999.5","...","25.6","...","97","1.3","144","...","...","15.0","...","...","...","...","...","..."
"18","999.2","...","25.2","...","94","0.5","103","...","...","8.0","...","...","...","...","...","..."
"19","999.4","...","25.8","...","94","1.0","114","...","...","0.0","...","...","...","...","...","..."
"20","999.5","...","25.9","...","94","1.6","105","...","...","0.0","...","...","...","...","...","..."
"21","999.4","...","26.1","...","93","1.0","122","...","...","0.0","...","...","...","...","...","..."
"22","999.3","...","27.3","...","87","0.9","154","...","...","0.0","...","...","...","...","...","..."
"23","999.8","...","26.3","...","89","0.6","78","...","...","0.0","...","...","...","...","...","..."
"24","999.6","...","25.5","...","91","0.9","94","...","...","0.0","...","...","...","...","...","..."
