"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","997.7","...","24.7","...","91","0.7","114","...","...","0.0","...","...","...","...","...","..."
"02","997.3","...","24.6","...","89","0.8","94","...","...","0.0","...","...","...","...","...","..."
"03","997.0","...","24.7","...","88","1.0","86","...","...","0.0","...","...","...","...","...","..."
"04","997.1","...","24.1","...","91","0.3","115","...","...","0.0","...","...","...","...","...","..."
"05","997.3","...","24.0","...","90","1.5","91","...","...","0.0","...","...","...","...","...","..."
"06","997.7","...","25.0","...","87","0.4","132","...","...","0.0","...","...","...","...","...","..."
"07","998.3","...","27.4","...","79","0.0","0","...","...","0.0","...","...","...","...","...","..."
"08","998.3","...","29.0","...","71","1.0","238","...","...","0.0","...","...","...","...","...","..."
"09","998.1","...","30.1","...","68","2.8","220","...","...","0.5","...","...","...","...","...","..."
"10","998.1","...","31.2","...","65","4.0","211","...","...","0.0","...","...","...","...","...","..."
"11","997.9","...","31.9","...","63","3.8","215","...","...","0.0","...","...","...","...","...","..."
"12","997.5","...","31.7","...","67","4.2","247","...","...","0.0","...","...","...","...","...","..."
"13","997.8","...","29.4","...","71","4.0","212","...","...","0.0","...","...","...","...","...","..."
"14","997.6","...","28.3","...","81","3.2","215","...","...","0.0","...","...","...","...","...","..."
"15","997.0","...","29.0","...","75","3.4","196","...","...","0.0","...","...","...","...","...","..."
"16","996.4","...","28.8","...","70","2.8","179","...","...","0.0","...","...","...","...","...","..."
"17","996.3","...","28.5","...","75","1.5","223","...","...","0.0","...","...","...","...","...","..."
"18","997.1","...","27.9","...","80","1.2","200","...","...","0.0","...","...","...","...","...","..."
"19","997.8","...","27.9","...","79","0.7","171","...","...","0.0","...","...","...","...","...","..."
"20","998.6","...","26.8","...","86","0.9","238","...","...","0.0","...","...","...","...","...","..."
"21","999.1","...","26.0","...","90","1.4","102","...","...","0.0","...","...","...","...","...","..."
"22","999.1","...","26.3","...","87","0.9","94","...","...","0.0","...","...","...","...","...","..."
"23","999.1","...","26.0","...","90","0.9","61","...","...","0.0","...","...","...","...","...","..."
"24","998.7","...","25.3","...","91","0.6","98","...","...","0.0","...","...","...","...","...","..."
