"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","998.8","...","25.3","...","93","1.1","112","...","...","0.0","...","...","...","...","...","..."
"02","998.6","...","25.4","...","93","0.4","93","...","...","0.0","...","...","...","...","...","..."
"03","998.2","...","25.5","...","90","0.5","96","...","...","0.0","...","...","...","...","...","..."
"04","997.8","...","25.3","...","87","1.7","107","...","...","0.0","...","...","...","...","...","..."
"05","998.1","...","24.7","...","89","1.5","108","...","...","0.0","...","...","...","...","...","..."
"06","998.6","...","25.1","...","86","1.4","116","...","...","0.0","...","...","...","...","...","..."
"07","998.9","...","28.9","...","74","0.3","233","...","...","0.0","...","...","...","...","...","..."
"08","999.3","...","29.2","...","68","2.7","223","...","...","0.0","...","...","...","...","...","..."
"09","999.7","...","30.9","...","62","3.4","216","...","...","0.0","...","...","...","...","...","..."
"10","999.8","...","31.9","...","58","3.9","214","...","...","0.0","...","...","...","...","...","..."
"11","999.4","...","32.8","...","57","3.4","219","...","...","0.0","...","...","...","...","...","..."
"12","998.7","...","33.6","...","55","2.3","226","...","...","0.0","...","...","...","...","...","..."
"13","998.4","...","32.7","...","57","2.6","243","...","...","0.0","...","...","...","...","...","..."
"14","998.2","...","31.5","...","69","4.0","272","...","...","0.0","...","...","...","...","...","..."
"15","998.3","...","30.6","...","68","2.5","246","...","...","0.0","...","...","...","...","...","..."
"16","998.1","...","30.6","...","70","2.4","210","...","...","0.0","...","...","...","...","...","..."
"17","998.3","...","31.0","...","69","2.2","201","...","...","0.0","...","...","...","...","...","..."
"18","998.5","...","30.1","...","73","1.8","264","...","...","0.0","...","...","...","...","...","..."
"19","999.3","...","28.7","...","81","1.5","252","...","...","0.0","...","...","...","...","...","..."
"20","1000.0","...","28.2","...","85","0.9","212","...","...","0.0","...","...","...","...","...","..."
"21","1000.3","...","28.0","...","85","0.3","250","...","...","0.0","...","...","...","...","...","..."
"22","1000.6","...","27.8","...","86","0.8","184","...","...","0.0","...","...","...","...","...","..."
"23","1000.6","...","27.0","...","90","0.4","134","...","...","0.0","...","...","...","...","...","..."
"24","1000.1","...","26.4","...","92","0.6","89","...","...","0.0","...","...","...","...","...","..."
