"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.5","...","25.2","...","99","1.8","140","...","...","0.5","...","...","...","...","...","..."
"02","1006.1","...","25.6","...","97","1.9","164","...","...","0.0","...","...","...","...","...","..."
"03","1006.5","...","25.7","...","97","0.3","145","...","...","0.0","...","...","...","...","...","..."
"04","1006.3","...","25.6","...","97","1.7","143","...","...","0.0","...","...","...","...","...","..."
"05","1006.3","...","25.3","...","99","1.4","157","...","...","0.0","...","...","...","...","...","..."
"06","1006.6","...","25.5","...","97","2.0","171","...","...","0.0","...","...","...","...","...","..."
"07","1007.3","...","26.2","...","93","3.4","191","...","...","0.0","...","...","...","...","...","..."
"08","1007.4","...","26.6","...","92","2.2","174","...","...","0.0","...","...","...","...","...","..."
"09","1007.2","...","27.5","...","89","3.2","176","...","...","0.0","...","...","...","...","...","..."
"10","1007.7","...","28.2","...","86","3.3","172","...","...","0.0","...","...","...","...","...","..."
"11","1007.4","...","30.2","...","75","3.2","200","...","...","0.0","...","...","...","...","...","..."
"12","1007.0","...","30.2","...","78","2.9","220","...","...","0.0","...","...","...","...","...","..."
"13","1006.9","...","28.3","...","86","3.0","262","...","...","0.0","...","...","...","...","...","..."
"14","1006.1","...","28.0","...","89","4.1","167","...","...","0.0","...","...","...","...","...","..."
"15","1006.1","...","26.9","...","94","3.8","165","...","...","0.0","...","...","...","...","...","..."
"16","1005.9","...","27.4","...","94","3.4","173","...","...","0.0","...","...","...","...","...","..."
"17","1006.0","...","27.5","...","91","3.3","167","...","...","0.0","...","...","...","...","...","..."
"18","1006.0","...","27.4","...","91","2.7","165","...","...","0.0","...","...","...","...","...","..."
"19","1005.9","...","27.4","...","91","1.9","161","...","...","0.0","...","...","...","...","...","..."
"20","1006.1","...","27.3","...","93","1.2","165","...","...","0.0","...","...","...","...","...","..."
"21","1006.8","...","27.6","...","92","0.8","187","...","...","0.0","...","...","...","...","...","..."
"22","1007.2","...","27.6","...","92","1.5","209","...","...","0.0","...","...","...","...","...","..."
"23","1007.2","...","27.7","...","89","2.0","216","...","...","0.0","...","...","...","...","...","..."
"24","1007.4","...","27.0","...","94","2.1","164","...","...","0.0","...","...","...","...","...","..."
