"ObsTime","StnPres","SeaPres","Temperature","Td dew point","RH","WS","WD","WSGust","WDGust","Precp","PrecpHour","SunShine","GloblRad","Visb","UVI","Cloud Amount"
"01","1006.7","...","27.4","...","89","2.6","170","...","...","0.0","...","...","...","...","...","..."
"02","1006.6","...","27.3","...","89","2.9","171","...","...","0.0","...","...","...","...","...","..."
"03","1006.1","...","27.1","...","87","3.1","168","...","...","0.0","...","...","...","...","...","..."
"04","1005.6","...","27.2","...","84","2.4","165","...","...","0.0","...","...","...","...","...","..."
"05","1005.5","...","27.1","...","85","2.9","169","...","...","0.0","...","...","...","...","...","..."
"06","1005.9","...","27.1","...","83","2.8","173","...","...","0.0","...","...","...","...","...","..."
"07","1006.6","...","27.5","...","83","2.4","171","...","...","0.0","...","...","...","...","...","..."
"08","1007.1","...","28.8","...","80","2.3","178","...","...","0.0","...","...","...","...","...","..."
"09","1007.4","...","30.4","...","74","3.5","200","...","...","0.0","...","...","...","...","...","..."
"10","1007.2","...","31.2","...","70","3.2","212","...","...","0.0","...","...","...","...","...","..."
"11","1007.0","...","31.8","...","68","3.8","213","...","...","0.0","...","...","...","...","...","..."
"12","1006.7","...","31.8","...","68","4.2","216","...","...","0.0","...","...","...","...","...","..."
"13","1006.2","...","31.7","...","73","4.1","219","...","...","0.0","...","...","...","...","...","..."
"14","1006.2","...","31.0","...","73","5.4","240","...","...","0.0","...","...","...","...","...","..."
"15","1005.6","...","31.4","...","74","4.3","223","...","...","0.0","...","...","...","...","...","..."
"16","1005.3","...","30.8","...","71","4.2","223","...","...","0.0","...","...","...","...","...","..."
"17","1005.4","...","31.1","...","77","3.3","218","...","...","0.0","...","...","...","...","...","..."
"18","1005.6","...","30.5","...","75","3.5","207","...","...","0.0","...","...","...","...","...","..."
"19","1006.3","...","30.0","...","79","3.2","202","...","...","0.0","...","...","...","...","...","..."
"20","1007.1","...","29.8","...","81","2.7","200","...","...","0.0","...","...","...","...","...","..."
"21","1008.1","...","29.5","...","84","3.0","200","...","...","0.0","...","...","...","...","...","..."
"22","1008.7","...","29.3","...","87","2.4","189","...","...","0.0","...","...","...","...","...","..."
"23","1008.8","...","28.6","...","91","2.2","178","...","...","0.0","...","...","...","...","...","..."
"24","1008.5","...","28.4","...","91","2.6","168","...","...","0.0","...","...","...","...","...","..."
